cid,vid,date
UCSTy-H5lSiCcozas32sfJlQ,zlQMwWkZNp8,2018-06-27T09:50:11Z
UCSTy-H5lSiCcozas32sfJlQ,7r9W-qadhVQ,2018-03-01T06:25:17Z
UCSTy-H5lSiCcozas32sfJlQ,P_xubHEaR6w,2017-12-20T03:46:07Z
UCSTy-H5lSiCcozas32sfJlQ,w3zFUZejKxM,2017-12-11T16:30:46Z
UCSTy-H5lSiCcozas32sfJlQ,AnUPJEs8aWc,2017-09-23T21:28:47Z
UCSTy-H5lSiCcozas32sfJlQ,L5A2wUcndjo,2017-08-08T05:27:35Z
UCSTy-H5lSiCcozas32sfJlQ,1XQ9_oNrl1E,2017-07-31T23:17:40Z
UCSTy-H5lSiCcozas32sfJlQ,6kJZeyL-jKI,2017-07-31T23:17:50Z
UCSTy-H5lSiCcozas32sfJlQ,F_FItO0Gxrw,2017-06-19T20:36:47Z
UCSTy-H5lSiCcozas32sfJlQ,vtzidOkBcRE,2017-06-03T16:28:32Z
UCSTy-H5lSiCcozas32sfJlQ,vVFhC4kuYDU,2017-05-16T17:48:13Z
UCSTy-H5lSiCcozas32sfJlQ,SiO6bcEmHkU,2017-04-18T20:06:55Z
UCSTy-H5lSiCcozas32sfJlQ,XWJD7aFkbbQ,2017-04-12T05:29:23Z
UCSTy-H5lSiCcozas32sfJlQ,Btw5U0TPiJg,2017-04-08T17:32:26Z
UCSTy-H5lSiCcozas32sfJlQ,b83JHaqNkVU,2017-03-08T08:49:56Z
UCSTy-H5lSiCcozas32sfJlQ,uBaXQc0iark,2018-01-11T17:37:03Z
UCSTy-H5lSiCcozas32sfJlQ,YKjwYaOuAGA,2018-01-11T06:52:03Z
UCSTy-H5lSiCcozas32sfJlQ,QP0rRMGwaos,2018-01-04T07:57:26Z
UCSTy-H5lSiCcozas32sfJlQ,3MU7LEXBzoM,2017-12-31T23:41:25Z
UCSTy-H5lSiCcozas32sfJlQ,y5obNZxXl9A,2017-12-09T03:57:48Z
UCSTy-H5lSiCcozas32sfJlQ,Xmi-GtBG5vw,2017-12-08T04:25:04Z
UCSTy-H5lSiCcozas32sfJlQ,QBbluDdhsP4,2017-09-19T20:37:33Z
UCSTy-H5lSiCcozas32sfJlQ,52lSZnJ9D34,2017-09-19T19:11:25Z
UCSTy-H5lSiCcozas32sfJlQ,km8KMkZQm1Y,2017-09-19T05:29:39Z
UCSTy-H5lSiCcozas32sfJlQ,aJG7I6wqs4U,2017-09-14T06:34:06Z
UCSTy-H5lSiCcozas32sfJlQ,MwQ1k1AeWk4,2017-09-14T06:20:23Z
UCSTy-H5lSiCcozas32sfJlQ,Cn3VOfRB_u0,2017-08-12T03:55:44Z
UCSTy-H5lSiCcozas32sfJlQ,gESPuCzOzAs,2017-08-08T04:44:34Z
UCSTy-H5lSiCcozas32sfJlQ,WDZYk7V4F9o,2017-08-07T06:53:14Z
UCSTy-H5lSiCcozas32sfJlQ,dgLrwhlzlOk,2017-08-03T04:29:11Z
UCSTy-H5lSiCcozas32sfJlQ,ILuBwNhdvUk,2017-08-01T00:45:07Z
UCSTy-H5lSiCcozas32sfJlQ,7FYUhfJ8kF4,2017-08-01T00:07:00Z
UCSTy-H5lSiCcozas32sfJlQ,PHkO_qMtiMM,2017-07-18T10:05:53Z
UCSTy-H5lSiCcozas32sfJlQ,NPgmZQabN_U,2017-07-12T09:56:33Z
UCSTy-H5lSiCcozas32sfJlQ,Ol58T2fVOzs,2017-06-15T08:20:27Z
UC4f8Z2XefBDL421pnNEQH0Q,f8_IIIOZIWw,2019-05-19T14:00:06Z
UC4f8Z2XefBDL421pnNEQH0Q,xJml2_d3rO4,2019-05-21T13:00:10Z
UCFc0stDRUkeBDc36qZeox1g,kuhPEe-w89o,2019-09-28T19:52:06Z
UCZeP6H2mELnRI9imY5Iga0g,urgUj2YKzm4,2019-07-04T23:38:05Z
UCZeP6H2mELnRI9imY5Iga0g,n12xwL9fhng,2018-05-11T19:05:46Z
UCZeP6H2mELnRI9imY5Iga0g,qWvtpjEVZ7c,2017-12-20T15:44:46Z
UCZeP6H2mELnRI9imY5Iga0g,yZ9Sb0hYVa0,2017-11-16T23:52:39Z
UCZeP6H2mELnRI9imY5Iga0g,RFVSzybXswA,2017-12-29T18:26:31Z
UCZeP6H2mELnRI9imY5Iga0g,t65RoJ4JE30,2017-11-07T18:57:55Z
UCZeP6H2mELnRI9imY5Iga0g,lLTxKQfq9bo,2017-10-13T19:26:07Z
UCZeP6H2mELnRI9imY5Iga0g,Ashd6x-neNQ,2016-11-09T17:10:17Z
UCN0-RRaxMgh86eOwndAklxw,NP7YtqspL58,2022-03-20T17:24:35Z
UCN0-RRaxMgh86eOwndAklxw,QDssgN2vPX0,2022-03-05T10:37:13Z
UCN0-RRaxMgh86eOwndAklxw,6yCrCOyEPnQ,2021-11-28T15:02:54Z
UCN0-RRaxMgh86eOwndAklxw,Q84arYp6v-Y,2021-11-25T17:21:57Z
UCN0-RRaxMgh86eOwndAklxw,cZpmj6Sb9Yk,2021-09-11T14:12:38Z
UCN0-RRaxMgh86eOwndAklxw,_a2qms0ZBIg,2021-08-24T16:16:12Z
UCN0-RRaxMgh86eOwndAklxw,7tRQnqehAcA,2021-06-07T18:21:03Z
UCN0-RRaxMgh86eOwndAklxw,2ZsPreFTRAY,2021-05-09T16:21:42Z
UCN0-RRaxMgh86eOwndAklxw,71FA9EkHGH8,2021-02-27T14:44:49Z
