Name,Category,Data Collection step,Id
DailyCallerVideo,Alt-lite,2,UCfDdlNLRVb1h3_7Xh-WhL3w
Liberty Machine News,Alt-lite,2,UCso6oQ3qy7z61Fr8b0WNBMw
AIU-Resurrection,Alt-lite,2,UCplXdu0g94UynzYCmO2zOjw
Tree Of Logic,Alt-lite,2,UCl3RCEtooHD5bhPCHJw3btA
DailyKenn,Alt-lite,2,UCbukZErY9SjdGTHabMzY7qg
AltRight Truth,Alt-lite,2,UC7tlcXIInkPG5aCkWB9lZOQ
Luke Ford Livestreams,Alt-lite,2,UCSFVD7Xfhn7sJY8LAIQmH8Q
TheSchillingShow,Alt-lite,2,UCtLAZi2CZmDgwgQ51XpqcDQ
ramzpaul,Alt-lite,2,UCIibK0GTXCaQCAamJAepm1g
Actual Justice Warrior,Alt-lite,4,UCzzLIhDbFYU46T4VFBz_m_g
patcondell,Alt-lite,4,UCWOkEnBl5TO4SCLfSlosjgg
The Hateful Gaels,Alt-lite,2,UCDhuG96y6kUT7tcFgHGj1Ug
TokenLibertarianGirl,Alt-lite,4,UCzIjg5vIfBGcdyLWu6lhXxw
Stefan Molyneux,Alt-lite,1,UCC3L8QaxqEGUiBC252GHy3w
Western Man,Alt-lite,2,UC88rnCuWgaW5KX1zIKr3SUQ
TheIncredibleSaltMine,Alt-lite,4,UCx_SEanFxmYdkylVM1v3RDg
MarkDice,Alt-lite,4,UCzUV5283-l5c0oKRtyenj6Q
Vincent James of The Red Elephants,Alt-lite,4,UCDuIxfEt_VoI1yfARYmfCGA
JustInformed Talk,Alt-lite,4,UCm5CkXzGXb-A2XX0nuTctMQ
6oodfella,Alt-lite,2,UCBVYmXSIzHq_gXMZpsfd9kg
Tommy Robinson,Alt-lite,2,UC6wdP5hTf_phre6Q3kFiV2g
On The Offensive,Alt-lite,2,UCcrgJyI1bSysVE92HPpNNiw
Carpe Donktum,Alt-lite,2,UCgkZARt0VNW7WKS5DOg8sDA
Harrison Hill Smith,Alt-lite,2,UCq44SkRjuB4EOO-1pfOJzzA
Revenge Of The Cis,Alt-lite,2,UC7Ql1bhBYk8LVMpZfkRZJGQ
ProductiehuisEU,Alt-lite,4,UCZO5CoTyLqv72wGluKwBzrA
Luke Ford,Alt-lite,2,UCEYmda1KQTjrhLBeWutKuGA
Lauren Southern,Alt-lite,1,UCla6APLHX6W3FeNLc8PYuvg
Rebel Media,Alt-lite,1,UCGy6uV7yqGWDeUWTZzT3ZEg
Rebel Canada,Alt-lite,1,UCOwtpxZT8kXYfoj0W4XBrjw
Rebel Edge,Alt-lite,1,UCOZN0I173I_3aIDrPw0Irmw
Lauren Chen,Alt-lite,1,UCLUrVTVTA3PnUFpYvpfMcpg
No Bullshit,Alt-lite,1,UCZNk7Jjb2t8EuBdgn4Zj1cw
No Bullshit 2,Alt-lite,1,UCGQHgCgSdUtcWufqzBHDzhA
Laura Loomer,Alt-lite,1,UCsWnDtLWKEMJHKYCc9647yQ
Computing Forever,Alt-lite,1,UCT9D87j5W7PtE7NHOR5DUOQ
Andy Warski,Alt-lite,1,UC2h3yPmh9TfQv2z3aTDTHHA
America First with Nicholas J Fuentes,Alt-lite,1,UCsJ86N5n7fcEC_Ds8dYJKzA
Nick Fuentes Clips,Alt-lite,1,UCrVft1rhiJqIt7USDCwQ9Mg
Paul Joseph Watson,Alt-lite,1,UCittVh8imKanO_5KohzDbpg
Vee,Alt-lite,1,UC8RJExf7iNpV6tp6hvNtwww
Blonde in the Belly of the Beast,Alt-lite,1,UCpbyOgUSjTSPpvVUAT2OyHw
MILO,Alt-lite,1,UC0aVoboXBUx2-tVIWHc3W2Q
Mike Cernovich,Alt-lite,1,UC87YBeLMwXhgaw5tcCxsXgQ
Gavin McInnes,Alt-lite,1,UCPGxwlhPEJE89bT4gB6rzhg
Brittany Pettibone,Alt-lite,1,UCesrUK_dMDBZAf7cnjQPdgQ
Brave New World,Alt-lite,2,UC659f8KdxrINaB3Ta7TEZzg
Oppressed Media,Alt-lite,2,UC6EyGxVgmTGt27_U9c_oz9g
The Iconoclast,Alt-lite,2,UClJ8Z0YvEm-ClFj3fdQgQkw
grapjas60,Alt-lite,2,UCGwD6FIVFso2IJQmFGgDNKA
thkelly67,Alt-lite,2,UCIKAZwaFnH_QX1ddYDQf-lg
Reverend Simon Sideways,Alt-lite,4,UCazjg_kYZHVqscSSB9lmhOA
Semiogogue,Alt-lite,2,UCck4tqn4wHb3jDhUn9dDVMg
Zach Hing,Alt-lite,2,UCKzrGgxorDwLcVKeaB7euvw
Christopher Anderson,Alt-lite,2,UClQkOIf9OfMCQ4CjlSSPvbQ
Tea Clips,Alt-lite,3,UCZMoAfVZKRS2HKA_gTPQY0g
The Fallen State,Alt-lite,2,UCLrVxw4H4ZJ3LovpdbzF7bw
Alt Hype Streams,Alt-lite,3,UCkbPk0OHdeOnjciSgdzxuzQ
Kelly Day,Alt-lite,2,UCmeZAal3f9_0h3LmYiqNCag
ataxin,Alt-lite,3,UClEDJq5JqDRGo8u8_lYO4gw
RobinHoodUKIP,Alt-lite,2,UCn1wSZL86FfGqZ3aDHiERgw
Make Cringe Great Again,Alt-lite,2,UC2nUwy3lWySoH2tWUiSeOgA
theturningpointusa,Alt-lite,2,UCVrK_pMRp_q8IelpfUCTGLQ
