RELEVANT_IMPRESSIONS_DAILY,FROM_IDEOLOGY,TO_IDEOLOGY,FROM_MEDIA,TO_MEDIA,FROM_LR,TO_LR
1074.195423404,,Center/Left MSM,,Mainstream Media,,C
130567.407918343,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,C,C
48028.906738295,Social Justice,Partisan Right,Mainstream Media,YouTube,L,R
31.76639119,,Unclassified,,YouTube,,R
47.893238963,,Social Justice,,Missing Link Media,,L
204142.346252836,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,C,R
609.731094919,,Religious Conservative,,YouTube,,R
232831.258842184,Center/Left MSM,Partisan Right,Mainstream Media,YouTube,L,R
1097.285647502,Partisan Left,Social Justice,YouTube,YouTube,C,L
97196.821996381,Center/Left MSM,Socialist,Mainstream Media,YouTube,C,L
90388.047724903,Unclassified,Anti-SJW,YouTube,YouTube,R,R
4379.246683724,Anti-SJW,Conspiracy,YouTube,YouTube,C,R
24954.546557086,Partisan Left,Conspiracy,Mainstream Media,YouTube,L,C
81295.489134655,Partisan Left,Unclassified,YouTube,YouTube,L,L
29342.364902454,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,L,R
31102.358668542,Unclassified,Unclassified,YouTube,Mainstream Media,C,R
616479.667612275,Conspiracy,Religious Conservative,YouTube,YouTube,R,R
1650.991224033,Unclassified,QAnon,YouTube,YouTube,C,R
288066.72373402,Socialist,Center/Left MSM,YouTube,Mainstream Media,L,C
16660.907816315,Social Justice,Socialist,Mainstream Media,YouTube,L,L
246329.35569903,Socialist,Partisan Left,YouTube,YouTube,L,L
7755.07839128,Unclassified,Partisan Right,YouTube,YouTube,L,R
216243.392471936,Partisan Left,Socialist,YouTube,YouTube,L,L
82660.428908003,Unclassified,Partisan Left,YouTube,Mainstream Media,L,L
2855986.02329991,Center/Left MSM,Social Justice,Mainstream Media,Mainstream Media,C,L
21905.997446617,Conspiracy,Partisan Right,YouTube,Missing Link Media,R,R
122.712448398,Center/Left MSM,White Identitarian,Mainstream Media,YouTube,C,R
160305.795852449,Conspiracy,Libertarian,YouTube,YouTube,R,R
1003783.89767574,Social Justice,Center/Left MSM,Missing Link Media,Mainstream Media,L,C
2838.419006513,Anti-theist,Unclassified,YouTube,YouTube,C,L
31651.070285367,Libertarian,Social Justice,YouTube,Mainstream Media,R,L
691663.974906877,Anti-SJW,Center/Left MSM,YouTube,Mainstream Media,R,L
3371.459881315,Partisan Right,Libertarian,YouTube,YouTube,R,C
