,video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,phase_level,topic,strategy,note,exp_stage,on_topic
60,ohjsypZfFVg,UCkY8CvV8WQFe87CZGmvuYHA,0,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,True
61,3zlvqFcinr8,UCXHcH4CggCrvIpm0KM0kHQg,1,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
62,9Xd8xq06FCw,UCCND6a0H56zHL4YuY226ZOQ,2,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
63,sLTvQnjEkRU,UCAaZm4GcWqDg8358LIx3kmw,3,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
64,PmNyNJFCugo,UCvrmr8Nfd86dG7pnSHC7c6Q,4,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
65,KhBf2je6Mk8,UCNhQsBPt6BJFwUHyUhrgn1Q,5,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
66,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,6,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
67,GL2v62S9ddE,UCnE-X64VaB7WQ4cPgdc3n3Q,7,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
68,SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,8,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
69,qQZPBFI5cc4,UC7osqPCRB5KF4ppEuhX-w7w,9,homepage,,alt-right_delete_0,stain,1,2,1,alt-right,delete,0,1,False
1662,RCu4G_ZkBI0,UCFuzExfO2fUVmNK5_COvsNg,0,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1663,U-pbhiOZsns,UCN0-RRaxMgh86eOwndAklxw,1,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,True
1664,7Bz5g80twBM,UCEKahDl_amqEoBqzh9UDYHw,2,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1665,bDyG72UhNSo,UC9MAhZQQd9egwWCxrwSIsJQ,3,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1666,bkfoL9afMcM,UCLtKal0qTf3klDUr7JS_L9Q,4,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1667,QimNaVF0iX8,UCep--CNHo77hFq9WTDT3f2g,5,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1668,TV5ubJq39h0,UCO0akufu9MOzyz3nvGIXAAw,6,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1669,f4isrrclZu0,UChPuCAEXg7iYkVNjQY1NGYg,7,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1670,pgyt7ok7Ojg,UCJ5v_MCY6GNUBTO8-D3XoAg,8,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
1671,gNBHBaG1d7Y,UCOmmoABCKXavySjCwYlbZCA,9,homepage,,alt-right_delete_0,stain,39,40,39,alt-right,delete,0,2,False
2555,90GvRKvbgzY,UCpar38sKgMVxiaO80LZFdwA,0,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2556,7TqnNgvbLtY,UC4YUKOBld2PoOLzk0YZ80lw,1,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2557,wPg9DYNVHuY,UCiIWdzEVNH8okhlapR9a-xA,2,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2558,Syir5-5u2UA&list=RDCMUCLM6JlQkQ9tltBL9Bipci9g&start_radio=1,,3,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,
2559,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,4,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2560,jpmLEdCeevo,UC81DuEHqyRUGhj6rMcEP6cw,5,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2561,Dx5qFachd3A,UCJhjE7wbdYAae1G25m0tHAA,6,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2562,lBbdmzqZMUg,UCC9EjyMN_hx5NdctLBx5X7w,7,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2563,SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,8,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2564,Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,9,homepage,,alt-right_delete_0,scrub,79,42,39,alt-right,delete,0,3,False
2660,8Zv61MWfg20,UCyLEtejdFtvHmfKBTDEVvzg,0,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2661,GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,1,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2662,635S7qnKBtY&list=RD635S7qnKBtY&start_radio=1,,2,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,
2663,Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,3,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2664,E5W_uXB8fGs,UCl37WycfTA2sk1Jf-H6oa2A,4,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2665,NBsvB-Pl66M,UCyXbPb1XnzmwlCk7DwmK2Qw,5,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2666,ugyvqRibInA,UCuF49lP5gkkw5L8HK3H6GJg,6,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2667,GI_f3VuvadI,UCq6VFHwMzcMXbuKyG7SQYIg,7,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2668,ab0XETmCUzM,UCnxQ8o9RpqxGF2oLHcCn9VQ,8,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
2669,TV2RHsEru44,UCeR0n8d3ShTn_yrMhpwyE1Q,9,homepage,,alt-right_delete_1,stain,1,2,1,alt-right,delete,1,1,False
4209,ottVpZI2PWo,UCft2_ARzEqPmQZSt88XsP2w,0,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4210,jYAC1MWL5mw,UCzwAr7ne4CzL-DHpPcVN-PA,1,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4211,E8CAAepdUSA,UC_ynzI9eLoSV2wXXoURzSeQ,2,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4212,j4g2uuCeSPs,UCDKJdFer1phQI95UinPZehw,3,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4213,43g9HMk4TE8,UCN0-RRaxMgh86eOwndAklxw,4,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,True
4214,cv1Eh-yLUY0,UCI5F3u2GH1UDL83dzd08bDg,5,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4215,DWWK05t98os,UCq6VFHwMzcMXbuKyG7SQYIg,6,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4216,GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,7,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4217,ojqTjKQs5Hs,UCO01ytfzgXYy4glnPJm4PPQ,8,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
4218,jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,9,homepage,,alt-right_delete_1,stain,39,40,39,alt-right,delete,1,2,False
5126,uEcz8I64Mz0,UCGaVdbSav8xWuFWTadK6loA,0,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5127,-4wT8dc1dc4,UC6CLkxOWW-TxdGM9yVTyDfQ,1,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5128,jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,2,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5129,YebZyAzLZuc,UCzQUP1qoWDoEbmsQxvdjxgQ,3,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5130,yxR24JMAE0c&list=RDCMUCqDUhDiWJdk3inMxtEPOUWw&start_radio=1,,4,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,
5131,YGsG2aCtt8E,UCJI4ZOQ_0R1HbWmIPY3DTLg,5,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5132,v8B9JXMFxBI,UCXu3Qcw018ZNU0qJ3hVn9mQ,6,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5133,RCu4G_ZkBI0,UCFuzExfO2fUVmNK5_COvsNg,7,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5134,apgtcPEoLGs,UCfsuI3-92QNO3DVy06PO9wg,8,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
5135,eE2-zYEldGc,UCn8zNIfYAQNdrFRrr8oibKw,9,homepage,,alt-right_delete_1,scrub,79,42,39,alt-right,delete,1,3,False
