topic,alt-right,alt-right,alt-right,alt-right,alt-right,antitheist,antitheist,antitheist,antitheist,antitheist,politics-left,politics-left,politics-left,politics-left,politics-left,politics-right,politics-right,politics-right,politics-right,politics-right,average
metric,p1,12sig,p2,23_sig,p3,p1,12sig,p2,23_sig,p3,p1,12sig,p2,23_sig,p3,p1,12sig,p2,23_sig,p3,23change
total,6%,   ,5%,,,26%,***,37%,,,41%,   ,42%,,,12%,***,28%,,,
none,,,6%,   ,4%,,,40%,   ,34%,,,38%,   ,34%,,,20%,   ,30%,-2%
watch,,,4%,   ,6%,,,28%,   ,6%,,,42%,   ,46%,,,30%,   ,34%,-1%
delete,,,2%,   ,2%,,,38%,   ,34%,,,42%,   ,34%,,,32%,   ,16%,-20%
dislike,,,12%,   ,14%,,,40%,   ,34%,,,44%,   ,46%,,,22%,   ,42%,24%
not-interested,,,4%,   ,2%,,,40%,   ,48%,,,44%,   ,44%,,,32%,   ,30%,-9%
no-channel,,,0%,   ,0%,,,32%,   ,30%,,,44%,   ,40%,,,34%,   ,36%,-2%
dislike-recommendation,,,6%,   ,2%,,,42%,   ,34%,,,40%,   ,50%,,,24%,   ,22%,-17%
