CHANNEL_TITLE,CHANNEL_ID,H_TAG
Alliance for Justice (AFJ),UC4chaUevLgCVSz-RcgqgoZQ,L
Al DIA,UCGrUeq1FtRamLqZgaCIgB3w,L
American Bridge 21st Century,UCvubOhuUIhYoYnRyXHtcygQ,L
American Oversight,UCipcOR6j5MuCzZXXnhfIyjw,L
Americans United for Separation of Church and State,UCTioRIsPAFBF1KqkUEf0guA,L
AutoStraddle,UCsNaPhvvGdDyikAvwCV9D4A,L
Bitch Media,UCFdJR3ZSJcZ7RGWdSYHt4ag,L
Being Liberal,UCtsxpBooBxhAAVSsfKzvHGQ,L
Black Agenda Report,UCOxLhz6B_elvLflntSEfnzA,L
Black Lives Matter,UCud6qp6HqpAJU4STFw8Uk7Q,L
Boing Boing,UCkhTsO516zCnrxRa6iy9j-w,L
Boston Review,UCEOtO8PPWXpCQmX1QpTx3EQ,L
Capital & Main,UCjfpIrbyc1hMT-CRZWbGF4g,L
Care2,UCAMOfF2PUYfKRLZuLATO1Tg,L
Center for Media and Democracy (PR Watch),UC3Qs31jxhhi0tOMhSEpe3WQ,L
Center for American Progress,UC0COu43Li7CUL2jseBpH9kQ,L
The Chicago Reporter,UCKL_VqV2UqBnmjGy4fLQ24g,L
Center for a Stateless Society,UCOA38--mWqKKdCAr6eFy-sA,L
Change.org,UCy8352SHLMMjC_jLYuYYw7A,L
Chicago Reader,UCSAEKsuh_gwX_MmpRjLhdMw,L
Common Dreams,UC5hQlpIgUxFa9q8iTP6LOBQ,L
Code Pink,UCSTEGsYwuvPpwjtIufg7gzA,L
Cosmopolitan,UC4LADtN8xwppFydHUB1s5uA,L
CounterCurrents.org,UCrXmzxXsc8I0jIBWc51ti2g,L
CrimethInc,UC7G7MpISQn4wt3HEIXgN6GQ,L
Crooks and Liars,UCzTy5FV9S-JqMaJOq4AxySQ,L
Daily Dot,UCPky_U7C3p6Y7qMoLCsTA-w,L
Dallas Voice,UCzLKquBnVnmwE8LBYSQTK3w,L
Democracy Chronicles,UCxcBAPpicKDkKtT5o6IQ9QA,L
DeathandTaxes,UCMjlfF6WlohRsUqXS86-h8g,L
Deadspin,UCFsh2bHIGqgRVZnZX8xhI0Q,L
Deep South Voice,UCA-qJxAjhq1G6aDsTHuPWug,L
Detroit Metro Times,UCkhDT0wgMF0Z3g4VaHeGr8w,L
DeSmog,UC27KdqL8GCxqXgurmGpkb7g,L
Dissent Magazine,UCrcfm_R39ru3obmkQY9eGdg,L
Earth First Journal,UCj-rZcEwT0HjATNq-kx_nsg,L
Electronic Intifada,UC9jY5IcAA99wX8MZQ9K9r-Q,L
Ecowatch,UCxNUGPwBSjDJzKHsfo21NXw,L
Elisabeth Parker,UCtShq2-PWQwEFNs-obQrjTQ,L
Elite Daily,UCuq5zqTO-fjggZMiXi2FzWg,L
ELLE Magazine,UCV8Do0nwSrYP7lwPBS4LWpw,L
Esquire Magazine,UCLPVHOw25Eu8CCKTxL5TgCA,L
Feministing,UCLsugInZe6elmRlM5AJ_O-g,L
Filming Cops,UCsRIXg6tVFYVKek2UphIXjw,L
Foreign Policy Journal,UCUfu_TleffkvkK4t8MPpZWQ,L
Food and Water Watch,UCwLpzY6cUOEZAOwmIAez26A,L
Foreign Policy News,UCef5LW_IXrGLIUiTQSCv6VA,L
