CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UC-sLjpZYal3Y6Wso5qwaxhw,Joe Walker,4959053,,0.9,22400,7373.823442,7373.823442,4969957,12.73420905,619.73440413,805.630272953,725.067245658,24.714286,2012-12-25T00:00:00.0000000Z,2014-10-30T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLTLC4-Ia3V6iIL2I0DP7fUhMaoAzybx3LODfWIM4Q=s88-c-k-c0x00ffffff-no-rj
UC7zGzURoj0k1ea3xPQ69DYg,NewRealities,20614775,US,0.8,73100,3658.459113,3658.459113,20534931,809.269900467,376.214595267,1182.157568238,945.726054591,46.267215,2006-09-02T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQnFS2xOs4Nn-XF3EoGKo_wgZyRguj5eQJzqy2o_w=s88-c-k-c0x00ffffff-no-rj
UCfjy9IdZ2n0_OIXPf2VQw4Q,coldcrashpictures,10004723,US,0.95,150000,2550.804659,2550.804659,9963443,3684.929913233,3666.721531668,2494.485111663,2369.760856079,13.351351,2011-04-20T00:00:00.0000000Z,2021-12-29T00:00:00.0000000Z,L,"[
  ""PartisanLeft"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ytc/AKedOLQpJ8aE0GjgkorBSRx0RVOxw4652ffmDZB0KDJlfw=s88-c-k-c0x00ffffff-no-rj
UC4mJKqkixe4nT98JTLJ8h4Q,javadzarif,876029,,0.85,34400,327.399103,327.399103,876120,46.356868535,12.162078831,66.284119107,56.341501241,15.029412,2013-11-19T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,L,[],Unclassified,YouTube,https://yt3.ggpht.com/ytc/AKedOLRxxvNDkbva__xJhyWguIFuyATxrQXKqRIVUQaH=s88-c-k-c0x00ffffff-no-rj
UC4YM0NX86SgxJRf8y0lQ3gA,Messy Elliott,119470,US,1,10800,711.732143,711.732143,119571,160.386651166,15.206043727,45.184863524,45.184863524,20.600000,2018-07-08T00:00:00.0000000Z,2018-12-23T00:00:00.0000000Z,L,"[
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ytc/AKedOLRWpnNY4iZUk17UTRK34AvEsYJ1BiEyyRrXign1oQ=s88-c-k-c0x00ffffff-no-rj
UCm0yTweyAa0PwEIp0l3N_gA,talkRADIO,137674148,GB,1,281000,82816.253998,82816.253998,176067356,369569.315845402,383190.580899544,181595.49751861,181595.49751861,77.371874,2016-03-21T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/v6q2qrwzH1S_71klgovvIftYn_dXvK1uSaiZAoL7W5EUTxGh0hl_x0mvvcxuMJj-lrkD8W9P=s88-c-k-c0x00ffffff-no-rj
UCialsmUlTRABKPw31VDx1eQ,Foundation for Economic Education,29538903,US,1,264000,6794.084059,6794.084059,31198434,17435.440998292,29153.55572839,19382.208436725,19382.208436725,23.674115,2009-06-15T00:00:00.0000000Z,2022-01-10T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""Libertarian""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/Rno2nsLSHcYmLOrNxLCWihiu6WRs6qlBYH7-9wwdd9GCZxCX3mI-dhpkvsc_4znjxUwSRFtCAw=s88-c-k-c0x00ffffff-no-rj
UCeJHGyhpEN0-xargFqMUPuA,Scott Carpenter,8254649,US,0.9,46300,1768.038386,1768.038386,8106456,1829.361876458,605.04852681,2546.884615385,2292.196153846,10.037736,2009-06-15T00:00:00.0000000Z,2022-01-03T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLS-_8Q1nBHPqmNl8gZUrCf0nDV_X-4Lg1K_qyOizQ=s88-c-k-c0x00ffffff-no-rj
UCxHkcxChLrCK98UuA5nwHng,Dana Ashlie too,125309,,0.95,25200,362.294798,362.294798,125354,659.983065063,0,155.487593052,147.7132134,53.000000,2021-02-03T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLRCSZd8NvVt73VpXUEKMz3RM31fwkotgNLSoXcm=s88-c-k-c0x00ffffff-no-rj
UCN5V0JO3jCMHvmMezj1ueyw,Alan Roberts,49802526,US,0.95,242000,25160.610035,25160.610035,50648308,24885.959885521,19034.573944358,18462.901985112,17539.756885856,13.821306,2016-07-11T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLRb9cdNL3HJ6kEwvxYSoTcbVH4Zf2yPx8hqC3OZKA=s88-c-k-c0x00ffffff-no-rj
UCGcW1IvvBzwUgOPNQsbUSSQ,Sports Wars,43471614,US,0.8,116000,31337.085076,31337.085076,43464537,151488.644707117,88822.132830405,53464.774193548,42771.819354839,8.785397,2018-03-30T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,C,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLS6-x73eDTZZZOo4QPWxbwnkLkPAYQidtW2jpeSpw=s88-c-k-c0x00ffffff-no-rj
UCV5ys-3_oGpRGwHdfEDgxww,Bret Baier,8811498,,0.95,12600,2035.249595,2035.249595,8798384,144.364256002,380.463883686,181.720843672,172.634801489,2.433447,2009-09-28T00:00:00.0000000Z,2021-07-30T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLTWwbFOM4Idrtf8Z1l1qakgSELEc2AdbPSbCup91g=s88-c-k-c0x00ffffff-no-rj
UCH9gafn41oPg7s6bQwiMwTg,BasedVidya,1053673,US,0.95,11200,1936.659926,1936.659926,1053543,3.440896488,1.099715945,4.282878412,4.068734491,7.857143,2015-08-01T00:00:00.0000000Z,2017-01-26T00:00:00.0000000Z,C,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLSVX-vQfW8DxryEErpiSEfA95EJELNCYx6MBqudMQ=s88-c-k-c0x00ffffff-no-rj
UCP2gdh7HfjgCoi8lO50dA5w,Fortune Magazine,22478296,,1,121000,5061.585034,5061.585034,22321590,8221.586532009,6001.484245197,6242.423076923,6242.423076923,9.521299,2009-11-10T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLSgW0kXYXpN_UQ-fzHtRNV5xZICs5lAkhfI3eLE2w=s88-c-k-c0x00ffffff-no-rj
UCH5qP08MbQrFNAAfFx-6h3Q,AMS News,6603720,US,0.95,22100,8837.782152,8837.782152,6734390,9639.913623173,2980.252576682,8352.816377171,7935.175558313,11.501730,2019-12-14T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,C,"[
  ""Libertarian""
]",Libertarian,YouTube,https://yt3.ggpht.com/ytc/AKedOLQAOLcNTYfU-Pz9IU2N4e6hYhLnbqXLCAkVbkgkEg=s88-c-k-c0x00ffffff-no-rj
UCODc8Pa-_WUMaVRp9dvmNmw,13News Now,39429492,US,1,83400,10785.171399,10785.171399,31147575,19371.286590734,26667.466440819,21133.239454094,21133.239454094,2.504223,2014-02-18T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLT7OJVT7Myb81KQV7CSRvfXWp4Y5R2WZ8bzEzU-3A=s88-c-k-c0x00ffffff-no-rj
UCw5pSFA1KVZJruigo_FVv2Q,OpenMind,258812,US,1,150000,789.391081,789.391081,920430,5645.215518201,123.278579876,778.982630273,778.982630273,23.747126,2018-11-06T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLTEscw965VEO9qZvRUT3e3pBHVX7QgRXOB58L1F=s88-c-k-c0x00ffffff-no-rj
UCRXnOs1rjfLMYrtZ-0n29NA,FreedomToons,139990109,,1,752000,52671.018038,52671.018038,140157579,259957.302715886,166906.419454068,109963.281637717,109963.281637717,4.309028,2014-10-01T00:00:00.0000000Z,2022-01-13T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""Libertarian"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLQ1iaxCMtCSmJtY3N1kbgeKZM6U_VMqbVIzDBJnxw=s88-c-k-c0x00ffffff-no-rj
UCV4vOEEG8DXZyLSl5P9lLmg,Brittany Simon,1501451,US,0.85,76100,423.189941,423.189941,1506133,4383.356033681,3700.576297404,1848.64516129,1571.348387097,45.326271,2012-04-18T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,L,"[
  ""AntiTheist"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/JH54z0oIGVWPztQf4zVGV24WdPXOQPy7sX_zMa9HqHjkQ2xiFqI2sj9dpQOCk6ns7rlSQPcx3BA=s88-c-k-c0x00ffffff-no-rj
UCvEBxEqM43Y-IU3nUW4ymQQ,Peachyoghurt Genderfree,1146143,,0.85,15000,565.022795,565.022795,1140216,87.734690225,68.848506514,301.70471464,256.449007444,7.037736,2015-06-22T00:00:00.0000000Z,2020-12-30T00:00:00.0000000Z,L,[],Unclassified,YouTube,https://yt3.ggpht.com/ytc/AKedOLQTpE43BhMZdlyr0SqiOAYqmK3CHwhH6Q0D0WeE=s88-c-k-c0x00ffffff-no-rj
UCZeP6H2mELnRI9imY5Iga0g,Ayla Wife,239188,,1,10400,275.948187,275.948187,426064,40.515435571,5.810745112,19.181141439,19.181141439,33.448819,2015-08-30T00:00:00.0000000Z,2019-11-21T12:31:46.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight"",
  ""ReligiousConservative"",
  ""WhiteIdentitarian""
]",White Identitarian,YouTube,https://yt3.ggpht.com/ytc/AKedOLTHTvfJVcayP8HcXzMB9sz01qr_57-mYIM2jDXcqeA=s88-c-k-c0x00ffffff-no-rj
UCfcIRCpBxK1f6RjWzLBXOHw,Foreign Policy Association,4382900,US,0.9,42500,1010.177475,1010.177475,4377099,253.501857895,10295.530906804,2081.973945409,1873.776550868,18.030013,2010-03-05T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLQFdd-9ydXepXK1PUr3sN9XwtdFGTGOkWC6eCgKMw=s88-c-k-c0x00ffffff-no-rj
UCE6AKvzwpL03oI8MCxOUTYg,Thomas Oklahoma,15695108,US,0.85,28500,11497.298168,11497.298168,15693812,15.020384949,0.07628936663,190.796526055,162.177047146,26.548387,2011-02-17T00:00:00.0000000Z,2014-11-13T00:00:00.0000000Z,L,"[
  ""PartisanLeft"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/vUEqkSh_Jh95ycjgAOfP1zGy9pDKEomUG6JM-04B_E6yjMLMKWMFLVoVbI8aXahuOIIRrA0u=s88-c-k-c0x00ffffff-no-rj
UCyCwfDOKjkm2VLWRxa7Ayhw,Smithsonian's National Museum of Natural History,2082351,US,0.8,14000,402.044256,402.044256,2134855,131.731909483,160.991909301,614.224565757,491.379652605,10.708249,2007-05-11T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,C,"[
  ""AntiTheist""
]",Anti-theist,YouTube,https://yt3.ggpht.com/ytc/AKedOLS5_CCL0HllgNTIda4V4WEpWtPbfDqGQkjapnTj1Q=s88-c-k-c0x00ffffff-no-rj
