channel_id,alt-right,alt-right_update_required,antitheist,antitheist_update_required,politics-left,politics-left_update_required,politics-right,politics-right_update_required,notes
UCGTKwjs1ctvgwCRa67RNO-Q,False,False,False,False,False,False,False,False,|heavily-masculine joyr-rides and excavations||
UC0QHWhjbe5fGJEPz3sVb6nw,False,False,False,False,False,False,False,False,|doctor mike|||Doctor Mike|nan
UCX6OQ3DkcsbYNE6H8uQQuVA,False,False,False,False,False,False,False,False,|mr. beast|||nan|nan|nan|Mr. Beast
UCodkb-qBktJI5NrUsPYpf7g,False,False,False,False,False,False,False,False,|Jordan Peterson tips|||nan|nan
UCamjnFmK1_lsTWJGWzkC8ew,False,False,False,False,False,False,False,False,|memester||
UCntvQO_KEroiep6CpEJUlBg,False,False,False,False,False,False,False,False,|blue angels bikers|||nan
UCHL9bfHTxCMi-7vfxQ-AYtg,False,False,False,False,False,False,False,False,|Japan traveler|||nan|abroad in Japan
UC13mSI38YWz5zfvxXDPpePA,False,False,False,False,False,False,False,True,|fox news TB|||nan|local news|nan|Fox news but its local and not on MBFC
UCSJ4gkVC6NrvII8umztf0Ow,False,False,False,False,False,False,False,False,|lofi beats|||nan|nan|nan|nan
UCXHcH4CggCrvIpm0KM0kHQg,False,False,False,False,False,False,False,False,|Catholic-inpsired videos|||nan
UC3kMrgEHl6Stw8TE2PSQtrw,False,False,False,False,False,False,False,False,|boxing videos|||boxing videos|||boxing videos|||boxing videos|||nan|nan|nan|nan
UCcj3FycZBXIPNj7QIBKTIDw,False,False,False,False,False,False,False,False,"|special ops, but for civilians||"
UC51_awyLXl2nxCduuzzmw4w,False,False,False,False,False,False,False,False,"|""The Liberty Pen""|https://libertypenblog.blogspot.com/|LOVE this series|nan"
UCoJQafFd9es78EhaqXl4WNA,False,False,False,False,False,False,False,False,"|asmr/magic vlog||my only request... yes, post to youtube"
UCmSp4bDxS9R0jpeZEvkut2g,False,False,False,False,False,False,False,False,|meme shorts||but also archive on rumble odysee etc etc
