video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,topic,strategy,note,on_list,manual_label_1-4,exp_stage,on_topic
ohjsypZfFVg,UCkY8CvV8WQFe87CZGmvuYHA,0,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,True,,1,True
3zlvqFcinr8,UCXHcH4CggCrvIpm0KM0kHQg,1,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
9Xd8xq06FCw,UCCND6a0H56zHL4YuY226ZOQ,2,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
sLTvQnjEkRU,UCAaZm4GcWqDg8358LIx3kmw,3,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
PmNyNJFCugo,UCvrmr8Nfd86dG7pnSHC7c6Q,4,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
KhBf2je6Mk8,UCNhQsBPt6BJFwUHyUhrgn1Q,5,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,6,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
GL2v62S9ddE,UCnE-X64VaB7WQ4cPgdc3n3Q,7,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,8,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
qQZPBFI5cc4,UC7osqPCRB5KF4ppEuhX-w7w,9,homepage,,alt-right_delete_0,stain,1,2,alt-right,delete,0,False,False,1,False
RCu4G_ZkBI0,UCFuzExfO2fUVmNK5_COvsNg,0,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
U-pbhiOZsns,UCN0-RRaxMgh86eOwndAklxw,1,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,True,,2,True
7Bz5g80twBM,UCEKahDl_amqEoBqzh9UDYHw,2,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
bDyG72UhNSo,UC9MAhZQQd9egwWCxrwSIsJQ,3,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
bkfoL9afMcM,UCLtKal0qTf3klDUr7JS_L9Q,4,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
QimNaVF0iX8,UCep--CNHo77hFq9WTDT3f2g,5,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
TV5ubJq39h0,UCO0akufu9MOzyz3nvGIXAAw,6,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
f4isrrclZu0,UChPuCAEXg7iYkVNjQY1NGYg,7,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
pgyt7ok7Ojg,UCJ5v_MCY6GNUBTO8-D3XoAg,8,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
gNBHBaG1d7Y,UCOmmoABCKXavySjCwYlbZCA,9,homepage,,alt-right_delete_0,stain,39,40,alt-right,delete,0,False,False,2,False
90GvRKvbgzY,UCpar38sKgMVxiaO80LZFdwA,0,homepage,,alt-right_delete_0,scrub,79,42,alt-right,delete,0,False,False,3,False
