rank,video_id,channel_id,topic,strategy,on_topic,potential_other_category,update_required,notes
5,QimNaVF0iX8,UCep--CNHo77hFq9WTDT3f2g,alt-right,delete,FALSE,,,Christian channel
9,gNBHBaG1d7Y,UCOmmoABCKXavySjCwYlbZCA,alt-right,delete,FALSE,,,terminated
0,ottVpZI2PWo,UCft2_ARzEqPmQZSt88XsP2w,alt-right,delete,FALSE,,,provokateur gamer and random videos
0,NRoUw5Zdo5s,UCjzl3ncT6GN1SyLF_3IVTFw,alt-right,delete,FALSE,,,alpha male tips
3,k7KYNstlPcc,UCketCWflVRWm3AEzbno9-_w,alt-right,delete,FALSE,,,acts gay??? provocateur
7,9W_Hz_I6o0I,UC554eY5jNUfDq3yDOJYirOQ,alt-right,delete,FALSE,,,alpha male
8,ZMStHOsmf-A,UCzfmH125g6CpiNGvgEasY1w,alt-right,delete,FALSE,,,cosplay dresser
3,GuXgctLoqBM,UCXbKcBLGxOw--ZMpaipzOEQ,alt-right,delete,FALSE,,,no videos
0,pTohkrufHac,UCFGVu_P82EhUc42Qi1aYTgg,alt-right,dislike,FALSE,,,gamer
2,uqjU-CcmVr8,UC9pYOJPB5UYlMlGKKZWo-Bw,alt-right,dislike,FALSE,,,space physics
5,n2Mv3nAWiTg,UCTUjcQH88KJODhSm8mc64pg,alt-right,dislike,FALSE,,,not English
7,NyyIu3hVC5w,UC_ZsljDWsoe-K1onqEUOFfg,alt-right,dislike,FALSE,,,music
0,wVJmMmq4FSc,UCokub2IJPFY4xFdgz6_37Ow,alt-right,dislike,FALSE,,,Jones and Tate fan + games
7,shjxW9XoXUE,UCGpziSEizqck32YtQEOcqPg,alt-right,dislike,FALSE,,,marlon brando fan
9,63-Es1sbAwI,UCE6aQ_tLn1VlvVVw66w3rSQ,alt-right,dislike,FALSE,politics,,podcaster comedian
0,r9767lrOJKs,UC3QAlv3wdYEhyveXPQPi-BA,alt-right,dislike,FALSE,,,"""Cute-cel"" a.k.a. incel but for women"
4,HfwPL-bd_mk,UC4USoIAL9qcsx5nCZV_QRnA,alt-right,dislike,FALSE,,,provokateur vlogger
5,khNdWcmEbvQ,UCSU5xDZA5_41fMOQTkBbF1Q,alt-right,dislike,FALSE,,,cars
6,EtPGv_X0G2w,UCNPl2SnE4FqafSjA7zmkN5w,alt-right,dislike,FALSE,,,bball
5,B8wUP84qsFs,UCxGSQNNa7SSNBXULaO1ubgg,alt-right,dislike,FALSE,,,religion
4,ehT35-671IM,UCoOjH8D2XAgjzQlneM2W0EQ,alt-right,dislike,FALSE,politics,,docs of politics/crime/power
5,_tK77gBJbxw,UCxyZVj7qOJ0ALdLMg3L6zIg,alt-right,dislike,FALSE,,,not english
6,gNBHBaG1d7Y,UCOmmoABCKXavySjCwYlbZCA,alt-right,dislike,FALSE,,,
6,PsKw9qpKhds,UCNYaxPiba3oxmeL_3jKxnYA,alt-right,dislike-recommendation,FALSE,,,science
5,1vJnE9qhEaw,UChwSVfujQ7AO6PbnPIj-suA,alt-right,dislike-recommendation,FALSE,,,anime
6,ottVpZI2PWo,UCft2_ARzEqPmQZSt88XsP2w,alt-right,dislike-recommendation,FALSE,,,
2,HfwPL-bd_mk,UC4USoIAL9qcsx5nCZV_QRnA,alt-right,dislike-recommendation,FALSE,,,
7,-l2MuMg2KMc,UCxDA5o5jySplWXtPtrYL6bg,alt-right,dislike-recommendation,FALSE,,,removed
8,4jRoatZizQ0,UCK1YDs3lB2ZzX5ef1v2IT7A,alt-right,dislike-recommendation,TRUE,,,Sam Hyde with links to his own website
0,r9767lrOJKs,UC3QAlv3wdYEhyveXPQPi-BA,alt-right,dislike-recommendation,FALSE,,,
4,EuWcs3AtQ-k,UCmdlnVFzmf7Zhqm_QE-UlJw,alt-right,dislike-recommendation,FALSE,,,working out
5,lhwgPdd-hcA,UCgKR2sekpD8cpB1Fdeo_whw,alt-right,dislike-recommendation,FALSE,,,not English music
5,m2ETrdCt_74,UCJTv_capNWHE6-t4tMxHP1A,alt-right,dislike-recommendation,FALSE,,,Native American traditions
3,mReAzk1hOa0,UC8MX9ECowgDMTOnFTE8EUJw,alt-right,no-channel,FALSE,,,ancient war histories
5,7fdEJs4R6Fw,UCOL6gu030SF47acVCvin24Q,alt-right,no-channel,FALSE,,,not English music
7,mReAzk1hOa0,UC8MX9ECowgDMTOnFTE8EUJw,alt-right,no-channel,FALSE,,,
9,WdxjUx5wfHc,UC9RWUo2FzwR29eI4hXiPQPg,alt-right,no-channel,FALSE,,,IDW/Alt-lite (anti-mainstream/SJW for sure)
4,PBAn4Hje0Js,UCpx0fHhNCQUVqK94tCxma3A,alt-right,no-channel,FALSE,,,not english
6,4jRoatZizQ0,UCK1YDs3lB2ZzX5ef1v2IT7A,alt-right,no-channel,TRUE,,,
7,-MIn4wFvLM0,UC4USoIAL9qcsx5nCZV_QRnA,alt-right,no-channel,FALSE,,,
6,-MIn4wFvLM0,UC4USoIAL9qcsx5nCZV_QRnA,alt-right,no-channel,FALSE,,,
3,1Ntj7rTMGjw,UCIaH-gZIVC432YRjNVvnyCA,alt-right,no-channel,FALSE,,,Men's help guru
5,lhwgPdd-hcA,UCgKR2sekpD8cpB1Fdeo_whw,alt-right,no-channel,FALSE,,,
3,4ePq5h2JpXg,UCIM5t65m91wkhWSUOz3y1Dg,alt-right,no-channel,FALSE,,,not English
0,a4SyGvdLnJE,UC2Rpb_4HefzNix9yhMlouCw,alt-right,none,FALSE,,,gamer
3,8qQarn8ocvk,UCnHj3j0h9Hx8JpDd9gu4Thg,alt-right,none,FALSE,,,gamer
9,hg7qdowoemo,UCn2YSCVS4EW8ltOu1SRwcrQ,alt-right,none,FALSE,,,not english
0,r9767lrOJKs,UC3QAlv3wdYEhyveXPQPi-BA,alt-right,none,FALSE,,,
1,HfwPL-bd_mk,UC4USoIAL9qcsx5nCZV_QRnA,alt-right,none,FALSE,,,
6,r9767lrOJKs,UC3QAlv3wdYEhyveXPQPi-BA,alt-right,none,FALSE,,,
5,w7PPCquHH28,UCKuGfUkFKsT-KIjtLTOiBWw,alt-right,none,FALSE,,,not English
7,nZxB0vyr1bs,UCMAGs_CGMHF-dDXdjCI8TcA,alt-right,none,FALSE,,,"book reading (Book of Nod, which is a creationist book)"
9,1DTzs0TU7Hs,UCqDUr9iGlRNI9fxsVOIZ2Zw,alt-right,none,FALSE,,,music
5,rXxOgRhrQHc,UCCl4wm5rLmsNsI1U7UyTU8A,alt-right,none,FALSE,,,removed
0,o7TzbCa7KpY,UC2cGFgeCTc1MxNEzPNcxvaA,alt-right,not-interested,FALSE,,,sports
9,ODaCrCttS1U,UCZAENaOaceQUMd84GDc26EA,alt-right,not-interested,FALSE,,,"Pagan religion expert (I think this is associated with Alt-right as far as preserving European identity, but I don't think this person is specifically being racist against others)"
2,mReAzk1hOa0,UC8MX9ECowgDMTOnFTE8EUJw,alt-right,not-interested,FALSE,,,
7,sc0A0s-tnRs,UCZLIt722xmGPXAqTafNnM3w,alt-right,not-interested,FALSE,,,bio-rleated businesses?
0,ottVpZI2PWo,UCft2_ARzEqPmQZSt88XsP2w,alt-right,not-interested,FALSE,,,
5,CNYze7aUgnc,UC8iuMvIDSrA5DwV-uHp5l_A,alt-right,not-interested,FALSE,,,Jamaica traveling
9,D6PC6BPd20Y,UCOmmoABCKXavySjCwYlbZCA,alt-right,not-interested,FALSE,,,
0,2Iy1-RjcIto,UCwsmjeD2R-_TLRf53JxApoA,alt-right,not-interested,FALSE,,,memes
3,_IpylXjOHQk,UCuLqz-phnZl5PFUTk6voBqA,alt-right,not-interested,FALSE,,,not English
5,DMH5WgGFxlc,UCP4R4OAJXEwnNOE28P8ophw,alt-right,not-interested,FALSE,,,nuclear-related old videos
6,NRoUw5Zdo5s,UCjzl3ncT6GN1SyLF_3IVTFw,alt-right,not-interested,FALSE,,,
0,NRoUw5Zdo5s,UCjzl3ncT6GN1SyLF_3IVTFw,alt-right,not-interested,FALSE,,,
3,bAactLwI7co,UCyh54cT7RnW9sT4HdnFjDMQ,alt-right,not-interested,FALSE,,,games and tv
5,qlQ8764Epx0,UC3w193M5tYPJqF0Hi-7U-2g,alt-right,not-interested,FALSE,,,doctor
5,_tK77gBJbxw,UCxyZVj7qOJ0ALdLMg3L6zIg,alt-right,not-interested,FALSE,,,
4,rVJ5z_BrRCE,UCQ0v32jT6Uf3FQ5TI4tudMg,alt-right,not-interested,FALSE,,,communication skills
9,ovCyi7y8chQ,UCMX31RavkfUHJvw03RbUZnA,alt-right,not-interested,FALSE,,,dark videos
4,jcbEiZQ9B7o,UCVHxJghKAB_kA_5LMM8MD3w,alt-right,watch,FALSE,politics,,
5,On2ZGNfaSAk,UC-OjUg_dt-k_iN6gRFgvKtw,alt-right,watch,FALSE,politics,,Asian woman talking about culture/politics
0,NRoUw5Zdo5s,UCjzl3ncT6GN1SyLF_3IVTFw,alt-right,watch,FALSE,,,
2,hg7qdowoemo,UCn2YSCVS4EW8ltOu1SRwcrQ,alt-right,watch,FALSE,,,
5,fHdRaDGCOh8,UCpAZ94jA-U4mbkZ4FiR7YLg,alt-right,watch,FALSE,,,prayer
7,HfwPL-bd_mk,UC4USoIAL9qcsx5nCZV_QRnA,alt-right,watch,FALSE,,,
8,_jROkFaqYEM,UCcPqJ6LkN92Ag2ZYRvuV0Lw,alt-right,watch,FALSE,,,life in prison
0,NRoUw5Zdo5s,UCjzl3ncT6GN1SyLF_3IVTFw,alt-right,watch,FALSE,,,
4,0CnHAWtw3Ss,UCMENfrTzUDhIv7KfuYIcdxw,alt-right,watch,FALSE,,,not American police force
5,aBDrMmVPsS4,UC0XEf5dhQusNE8J14_1Qfjg,alt-right,watch,FALSE,,,not English
1,ygSWLZ38aEA,UCwM5jMqlj55s21PsB6MCpaA,antitheist,delete,FALSE,,,anti-Jehova's Witness but not Atheist
