channel_id,topic,on_topic,update_required,notes
UCzcRQ3vRNr6fJ1A9rqFn7QA,alt-right,FALSE,,movie trailers
UCpIT_wPiiiZrQNzMRv_UEag,alt-right,FALSE,,vlogs
UC4mnZmx_t0T-OM70n6ZSeTw,alt-right,FALSE,,soccer
UCWo4IA01TXzBeGJJKWHOG9g,alt-right,FALSE,,Harvard Business Review
UCZRtpJI7ihA6EO49RzPmAbg,alt-right,FALSE,,vlogs
UC5AMiWqFVFxF1q9Ya1FuZ_Q,alt-right,FALSE,,coding
UCuFFtHWoLl5fauMMD5Ww2jA,alt-right,FALSE,,CBS news
UCvrmr8Nfd86dG7pnSHC7c6Q,alt-right,FALSE,,bass player
UCZ1-u3qX7AUUPzH9O_Peb-Q,alt-right,FALSE,,Vancouver Sun
UCCNzrPbGCa252PGRsRwnmOA,alt-right,FALSE,,not English
UCIsbLox_y9dCIMLd8tdC6qg,alt-right,FALSE,,Vainty Fair
UCo8bcnLyZH8tBIH9V1mLgqQ,alt-right,FALSE,,Odd 1s Out (cartooner)
UCM2YmsRUeIbRkqjgNm0eTGQ,alt-right,FALSE,,trailers
UC9BMWLruGWsr1nTzFqmMfHw,alt-right,FALSE,,memes
UCnxQ8o9RpqxGF2oLHcCn9VQ,alt-right,FALSE,,music reviewer
UCAOiOx2oeC9EycrGjWV2pkQ,alt-right,FALSE,,true crime tv
UCNhQsBPt6BJFwUHyUhrgn1Q,alt-right,FALSE,,not English
UC_gUM8rL-Lrg6O3adPW9K1g,alt-right,FALSE,,WION news
UCzwFZOhCfCZTgLruMz_RWCw,alt-right,FALSE,,SML (puppeter)
UCXGecfdP4LZs8BMSytOJJqA,alt-right,FALSE,,personally vlogging news
UCVjh0oZ3Ug5-s3WX1awxblQ,alt-right,FALSE,,movies
UCub-70MkFDptcnh3BSGVPpQ,alt-right,FALSE,,drummer
UCVfwlh9XpX2Y_tQfjeln9QA,alt-right,FALSE,,bible
UCNXnzorI5nuqem74vPa31gw,alt-right,FALSE,,cook
UCjvO9OjMSsaZxVKhMwVCpiQ,alt-right,FALSE,,country/hillbilly music
UCfV8O1xhlB8O9YGz9ywmn8A,alt-right,FALSE,,WWE
UCpsN2TfWGmun4peN2IPgcKg,alt-right,FALSE,,gamer
UCj54ygjMXmDVVcBZ1xOIh7g,alt-right,FALSE,,personal nature vlogger
UCAuUUnT6oDeKwE6v1NGQxug,alt-right,FALSE,,TED
UC5zJwsFtEs9WYe3A76p7xIA,alt-right,FALSE,,the proessor
UCxXyJLkuVnAclIrCpuxLC6g,alt-right,FALSE,,track and field
UCYUbNjkuE4lsr2v1Id2O1oA,alt-right,FALSE,,ABC news
UCHMWHaYB7QdaTdwO09OFkUQ,alt-right,FALSE,,vlogs
UCsXVk37bltHxD1rDPwtNM8Q,alt-right,FALSE,,science explained
UCyLEtejdFtvHmfKBTDEVvzg,alt-right,FALSE,,gaming/trailers
UCJquYOG5EL82sKTfH9aMA9Q,alt-right,FALSE,,music reviewer
UC6I0KzAD7uFTL1qzxyunkvA,alt-right,FALSE,,builder
UCL6JmiMXKoXS6bpP1D3bk8g,alt-right,FALSE,,donut media (cars)
UCeR0n8d3ShTn_yrMhpwyE1Q,alt-right,FALSE,,reviewer 
UCSFLs1nwzqSC3Tq6cXhJkLg,alt-right,FALSE,,WTHR13 news
UCVepIJedg6BMQeSgjPY4e6A,alt-right,FALSE,,bball
UCctFmLPZeYVSUMzn0HVycPA,alt-right,FALSE,,not English music
UCHpw8xwDNhU9gdohEcJu4aA,alt-right,FALSE,,the Guardian 
UCDhHtbbtC3bL6tlbRO0LFPA,alt-right,FALSE,,plane videos
UCaVg17N5-l_69T_WT036m2w,alt-right,FALSE,,a school
UCO90O9BMMKYiKT115NhYCrg,alt-right,FALSE,,business skills
UC-prg-DyaI1rXvqPm4ol_nQ,alt-right,FALSE,,quiz
UCvPXiKxH-eH9xq-80vpgmKQ,alt-right,FALSE,,history
UClKF27Ude7H3SPvSdsC9ktg,alt-right,FALSE,,car
UCbIeFrHSRcVgXXvJilHtnNw,alt-right,FALSE,,not English
UCESTJHwa5yvxYQbMfhVLleQ,alt-right,FALSE,,fishes
UCdld7SHk9IyYSkNrHA9B6Dw,alt-right,FALSE,,drummer
UCjG94SagJZoyPggcBhUdFCA,alt-right,FALSE,,builder
UCSnlthF_6tFjJyuDLKVnEGg,alt-right,FALSE,,teacher support
UC4mLlRa_dezwvytudo9s1sw,alt-right,FALSE,,football
UCnuxHB0IgjTsnHVrhLcTiaQ,alt-right,FALSE,,cars
UCZDPtxoaWMsY-YwlD1PXg9g,alt-right,FALSE,,podcast with wrestlers/tv personalities
UCjVhFTLlmHBEocHi3miaMvA,alt-right,FALSE,,dr. Mike
UC4sxB7lQ17CKRpFQpntloRg,alt-right,FALSE,,tech hack memer
UCPHeAtHSXnymNh8b_Kkj2rw,alt-right,FALSE,,parodies
UC02n2oDfBu33xEEmJX1pBdQ,alt-right,FALSE,,rapper
UC2ggrxKhqgTRx7We9vjQRCQ,alt-right,FALSE,,cars
UCUi3_cffYenmMTuWEsLHzqg,alt-right,FALSE,,music
UCispmZXt3_g4h9o3XsqoqaA,alt-right,FALSE,,architect
UCUsN5ZwHx2kILm84-jPDeXw,alt-right,FALSE,,beard watchers
UCPc_JsU4vg6agpjzWOefDxQ,alt-right,FALSE,,cartoons
UCGHBxGbcajbe47HfvGAFfTg,alt-right,FALSE,,wwe
UCVqytdh_eTzWlh1K8Yst_rg,alt-right,FALSE,,dog TV
UCmRZTrJYqOMzP5J0r0snxYg,alt-right,FALSE,,music
UCl37WycfTA2sk1Jf-H6oa2A,alt-right,FALSE,,"random stuff, including conversation skills"
UCGAmpBtWveYp0-3v9npnhvQ,alt-right,FALSE,,scary stories
UCwVg9btOceLQuNCdoQk9CXg,alt-right,FALSE,,vlogger
UCvbKGLFg-bgjWvAglehxOFw,alt-right,FALSE,,music
UCKPCCeeXDm-WRo3-CSvkBkg,alt-right,FALSE,,Kpop group sightings
UCXfM7AwAkbQKwii8Iun6x-A,alt-right,FALSE,,music
UCWyUkRLAc9SiqTVsdzCedSQ,alt-right,FALSE,,memes
UCyDZai57BfE_N0SaBkKQyXg,alt-right,FALSE,,musician
UCfxDYmqP9moOa0bGSWOiIiA,alt-right,FALSE,,nature
UClBKH8yZRcM4AsRjDVEdjMg,alt-right,FALSE,,academy
UCvWVbhkI_ky8PVZX8QaKoog,alt-right,FALSE,,vlogger
UCMcOMWUeyl2yB23aZMO-0Sw,alt-right,FALSE,,family guy
UCyXbPb1XnzmwlCk7DwmK2Qw,alt-right,FALSE,,Kpop group sightings
UCEn3fRj2e0mpqYsijxnzayg,alt-right,FALSE,,builder
UCPKAKrjoMz7POptCloy7AIQ,alt-right,FALSE,,home improvement
UCQ1Diq0oMGla5CpnSGORkbA,alt-right,FALSE,,shows
