topic,,channel_id
alt-right,4961,UCUUAcQzvjGjUihnsCbYD84w
alt-right,326,UC1yNl2E66ZzKApQdRuTQ4tw
alt-right,952,UCZO_rA62WyBZCeTTW6BSjvQ
alt-right,4266,UCVfwlh9XpX2Y_tQfjeln9QA
alt-right,4353,UCSnlthF_6tFjJyuDLKVnEGg
alt-right,5215,UCHpw8xwDNhU9gdohEcJu4aA
alt-right,155,UCctFmLPZeYVSUMzn0HVycPA
alt-right,178,UCIOW_qxnFZS-xOhdUeCl7-g
alt-right,1004,UCMENfrTzUDhIv7KfuYIcdxw
alt-right,663,UCzYGlXciaD597XXSW5rFFhg
alt-right,877,UC7wVlsDtCCSg5_3u0aj2laQ
alt-right,4905,UCJquYOG5EL82sKTfH9aMA9Q
alt-right,4778,UCjG94SagJZoyPggcBhUdFCA
alt-right,815,UC0fWyGqW2XovKQ8rfZjpBZg
alt-right,4666,UCgQwUqvfqI3XjyUAsFD_GWw
alt-right,5193,UCsT0YIqwnpJCM-mx7-gSA4Q
alt-right,697,UC3TL2lUPabRGPbg4HqcuEyQ
alt-right,654,UCzQUP1qoWDoEbmsQxvdjxgQ
alt-right,935,UC4mnZmx_t0T-OM70n6ZSeTw
alt-right,885,UCxyZVj7qOJ0ALdLMg3L6zIg
alt-right,269,UC6oHLp5r0FcXwzxmWzL1aSg
alt-right,242,UCX6OQ3DkcsbYNE6H8uQQuVA
alt-right,5180,UCPgLNge0xqQHWM5B5EFH9Cg
alt-right,4824,UCOp8wkVqdrWbFYHjDv946QQ
alt-right,603,UCX6OQ3DkcsbYNE6H8uQQuVA
alt-right,943,UCHC60upCUfq7EAfw6oDQRDA
alt-right,596,
alt-right,527,UC4USoIAL9qcsx5nCZV_QRnA
alt-right,5185,UClqhvGmHcvWL9w3R48t9QXQ
alt-right,4931,UCLgEVx4mzk3T3mzgbKG54Eg
alt-right,4761,UCzABoOdRnT4tVs9XYSsyfUg
alt-right,4853,UCJMC-44oT9l97ra5iemDPiA
alt-right,574,UCPDis9pjXuqyI7RYLJ-TTSA
alt-right,250,UCN0-RRaxMgh86eOwndAklxw
alt-right,602,UCSJ4gkVC6NrvII8umztf0Ow
alt-right,4700,UCJMC-44oT9l97ra5iemDPiA
alt-right,5116,UCXYRCRAdR2D9obydxGbgqdA
alt-right,4766,UCi7GJNg51C3jgmYTUwqoUXA
alt-right,4250,UC0L1suV8pVgO4pCAIBNGx5w
alt-right,743,UCd1yjHMjahhWKUnl2qRyo0A
alt-right,4247,UCXIJgqnII2ZOINSWNOGFThA
alt-right,4620,UCF4LEacx9sDvAbEJnlaJfKQ
alt-right,751,UCX6OQ3DkcsbYNE6H8uQQuVA
alt-right,767,UC6o-wWU-v2ClFMwougmK7dA
alt-right,12,UCEKahDl_amqEoBqzh9UDYHw
alt-right,585,UCHC60upCUfq7EAfw6oDQRDA
alt-right,5174,UCY7dD6waquGnKTZSumPMTlQ
alt-right,893,UCO01ytfzgXYy4glnPJm4PPQ
alt-right,159,UC5X8wA2pn9sbD765c-rmkMg
alt-right,298,UCOVcAiUMS7RZ6RVUcrwAYXA
antitheist,6206,UCUMZ7gohGI9HcU9VNsr2FJQ
antitheist,5513,UCFNm26OW87Dm3fZ1txX1vGA
antitheist,5347,UCmwfdgHA_R9fzr1L0_hxdVw
antitheist,1407,UCHXqfrBY1SxuMu2LMkEa6yQ
antitheist,6046,UCLRyX7owPjdOvFf9N0nPq5w
antitheist,5841,UC0cd_-e49hZpWLH3UIwoWRA
antitheist,5370,UC0cd_-e49hZpWLH3UIwoWRA
antitheist,6072,UCprs0DXUS-refN1i8FkQkdg
antitheist,6267,UC5Qu8GvA0lUm3GmzBqmmfeg
antitheist,1228,UCyq3gA7Wg4Q3Uf0eMASQ7_A
antitheist,5383,UC0cd_-e49hZpWLH3UIwoWRA
antitheist,1816,UCNo4F3mz70-UqRbKwjRmRWg
antitheist,1224,UCaFNs3ETMvkmy0JahAS6WJA
antitheist,6023,UClh4JeqYB1QN6f1h_bzmEng
antitheist,5438,UCsT0YIqwnpJCM-mx7-gSA4Q
antitheist,1384,UCP0_k4INXrwPS6HhIyYqsTg
antitheist,1720,UC-Ic_OskSN_kGoP_zf2JU7w
antitheist,1836,UC7osqPCRB5KF4ppEuhX-w7w
antitheist,5869,UCG1uayRlzz3ahT8ISRdyw7Q
antitheist,2069,UCvixJtaXuNdMPUGdOPcY8Ag
antitheist,1319,UC6MFZAOHXlKK1FI7V0XQVeA
antitheist,1387,UCSJ4gkVC6NrvII8umztf0Ow
antitheist,5304,UCHnyfMqiRRG1u-2MsSQLbXA
antitheist,5705,UCyGOloOIJWt8NlE4tnejQeA
antitheist,1508,UCC9EjyMN_hx5NdctLBx5X7w
antitheist,2066,UCJyYPIYM-2iuvc6MKasAEQQ
antitheist,5521,UCHnyfMqiRRG1u-2MsSQLbXA
antitheist,1800,UCl2mFZoRqjw_ELax4Yisf6w
antitheist,5653,UCy9b8cNJQmxX8Y2bdE6mQNw
antitheist,5581,UCLXo7UDZvByw2ixzpQCufnA
antitheist,6229,UCprs0DXUS-refN1i8FkQkdg
antitheist,1877,UCOB86WpguzlOEs4z93iZ7kA
antitheist,1942,UCvwo7Z0eSMpbyMSBE4Iryrg
antitheist,6073,UCIv3LvN_0CNzMpSrTF9naNA
antitheist,1275,UCmz7R7v1xxvOTYKh2ZSFdFg
antitheist,1171,UCX6OQ3DkcsbYNE6H8uQQuVA
antitheist,1849,UCswH8ovgUp5Bdg-0_JTYFNw
antitheist,1372,UCzINPf7zTdcAoBlwUg0xfwA
antitheist,1251,UCtM5z2gkrGRuWd0JQMx76qA
antitheist,1657,UCSJ4gkVC6NrvII8umztf0Ow
antitheist,6205,UCSHZKyawb77ixDdsGog4iWA
antitheist,5403,UCU_W0oE_ock8bWKjALiGs8Q
antitheist,5947,UC4JKpMFBjWG_3xE9BTQpvpw
antitheist,5492,UCSHZKyawb77ixDdsGog4iWA
antitheist,5803,UC0q0C_Qc5J4qHF6gjzzwe7g
antitheist,1233,UCDogdKl7t7NHzQ95aEwkdMw
antitheist,5619,UClh4JeqYB1QN6f1h_bzmEng
antitheist,5313,UC0cd_-e49hZpWLH3UIwoWRA
antitheist,1294,UC_qUtVIh3-IAZUaKtsX3IKg
antitheist,6164,UCHnyfMqiRRG1u-2MsSQLbXA
politics-left,2267,UCBCi8RpchMBJaW5GZEgKhnA
politics-left,6325,UCVrhQjwM5l7QsX28tJivAzA
politics-left,2893,UCJrWgtbQdWgfmxKbBg2cXbA
politics-left,2747,UCz8K1occVvDTYDfFo7N5EZw
politics-left,6554,UCz8K1occVvDTYDfFo7N5EZw
politics-left,2660,UCDH6Mn2bhXA83FoSX4H802w
politics-left,2140,UCupvZG-5ko_eiXAupbDfxWw
politics-left,2809,UCsT0YIqwnpJCM-mx7-gSA4Q
politics-left,2249,UCzF4Ryn8TKn64md77gS5Q5Q
politics-left,2321,UCAehOwpmELvYCoioBgfUrYg
politics-left,2708,UCj31PEVBMTnLvVOCSQGpbog
politics-left,2690,UCzfW1jg9hCGW82-NbmR5l0Q
politics-left,2744,UCekqZ-2WiVhKFa3cPi91gbQ
politics-left,6936,UCshwRhftzkiov5wKR7M_LsQ
politics-left,7121,UCEKahDl_amqEoBqzh9UDYHw
politics-left,7029,UCUxc0iEpV8wZV4WLOui0RwQ
politics-left,7309,UCMou8jEaN0213UcOS2-yuFw
politics-left,2759,UCGfgKimGJ4yueKEtFVPpHtw
politics-left,2584,UCMtFAi84ehTSYSE9XoHefig
politics-left,2588,UCAaZm4GcWqDg8358LIx3kmw
politics-left,2891,UCO24uYfXkWFWF9a8xOzlmRw
politics-left,6538,UCMou8jEaN0213UcOS2-yuFw
politics-left,7266,UCXHS7RSRMGcVp4-MMbEDW6g
politics-left,2520,UCO0akufu9MOzyz3nvGIXAAw
politics-left,6739,UCmYesELO6axBrCuSpf7S9DQ
politics-left,7232,UC-2MJlKSq9_pYk5-bdvMhnw
politics-left,3056,UCIYLOcEUX6TbBo7HQVF2PKA
politics-left,2950,UC3cC3fqGreVygtVtfGIRDGg
politics-left,7028,UCUMZ7gohGI9HcU9VNsr2FJQ
politics-left,6706,UCAIpjRk6Huxk117kyICe5nA
politics-left,7087,UCxCfoSInadl-4i3F70zDt1A
politics-left,7084,UCxCfoSInadl-4i3F70zDt1A
politics-left,2543,UCDwdDKYq0kcEAlziX5EEP3g
politics-left,6289,UCcsj9IjfX7-fhzLZRPtWo1Q
politics-left,3019,UCekqZ-2WiVhKFa3cPi91gbQ
politics-left,2830,UCswH8ovgUp5Bdg-0_JTYFNw
politics-left,2654,UC0L1suV8pVgO4pCAIBNGx5w
politics-left,6605,UCl-Kb7a1sfOyuJIemimuP3A
politics-left,6280,UCshwRhftzkiov5wKR7M_LsQ
politics-left,2519,UCs8o1mdWAfefJkdBg632_tg
politics-left,7170,UC_XanpDlhCrTbQ6V1rdHrDg
politics-left,2629,UCGr-rTYtP1m-r_-ncspdVQQ
politics-left,2589,UC_TdKT4E5udw-CmK3FWDsxA
politics-left,7154,UCHN43U7Xe0oKfPUDkJrojAg
politics-left,7132,UCTl3QQTvqHFjurroKxexy2Q
politics-left,2956,UCLtKal0qTf3klDUr7JS_L9Q
politics-left,2680,UCz8K1occVvDTYDfFo7N5EZw
politics-left,7177,UCKL_VqV2UqBnmjGy4fLQ24g
politics-left,6645,UC-2MJlKSq9_pYk5-bdvMhnw
politics-left,2101,UC_hK9fOxyy_TM8FJGXIyG8Q
politics-right,4051,UCvkdpLN1agXoiRWEWTtXqjw
politics-right,8323,UCypowE_p8nJK2uZgE77tNUA
politics-right,8042,UCAHmI3MPpk5h2DzcseyXAgw
politics-right,7709,UC16niRr50-MSBwiO3YDb3RA
politics-right,3957,UC0fWyGqW2XovKQ8rfZjpBZg
politics-right,7427,UCR54lF_dD3f-8srmRqnTwgQ
politics-right,3652,UCkx7XQq5ptv_DijY2WucqIg
politics-right,8092,UCWo4IA01TXzBeGJJKWHOG9g
politics-right,8061,UCftwRNsjfRo08xYE31tkiyw
politics-right,4121,UCNlfGuzOAKM1sycPuM_QTHg
politics-right,7623,UC6ZFN9Tx6xh-skXCuRHCDpQ
politics-right,7962,UC9xkc8dWgBsFfC7DOJfJLFg
politics-right,4136,UC64UiPJwM_e9AqAd7RiD7JA
politics-right,8317,UCXIJgqnII2ZOINSWNOGFThA
politics-right,7608,UCNEvA5GEeJ9KuynQWHtcgXw
politics-right,7994,UCc8TbSged5O_G8_eVD-YmbQ
politics-right,8161,UCm4vHROaPm_syaXTZK08Gag
politics-right,3348,UCeY0bbntWzzVIaj2z3QigXg
politics-right,3208,UCNlfGuzOAKM1sycPuM_QTHg
politics-right,8198,UCXIJgqnII2ZOINSWNOGFThA
politics-right,3911,UCGr-rTYtP1m-r_-ncspdVQQ
politics-right,4065,UCswH8ovgUp5Bdg-0_JTYFNw
politics-right,4005,UCU_W0oE_ock8bWKjALiGs8Q
