,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic,on_topic
topic,alt-right,alt-right,alt-right,alt-right,alt-right,antitheist,antitheist,antitheist,antitheist,antitheist,politics-left,politics-left,politics-left,politics-left,politics-left,politics-right,politics-right,politics-right,politics-right,politics-right,average
metric,p1,12sig,p2,23_sig,p3,p1,12sig,p2,23_sig,p3,p1,12sig,p2,23_sig,p3,p1,12sig,p2,23_sig,p3,23change
strategy,,,,,,,,,,,,,,,,,,,,,
total,6%,   ,5%,,,20%,   ,18%,,,40%,   ,31%,,,15%,***,25%,,,
none,,,6%,   ,4%,,,20%,   ,28%,,,26%,   ,18%,,,18%,   ,30%,12%
watch,,,4%,   ,6%,,,8%,   ,6%,,,32%,   ,36%,,,28%,   ,28%,9%
delete,,,2%,   ,2%,,,24%,   ,28%,,,28%,   ,34%,,,30%,   ,18%,0%
dislike,,,10%,   ,14%,,,12%,   ,4%,,,36%,   ,38%,,,24%,   ,40%,11%
not-interested,,,4%,   ,2%,,,24%,   ,40%,,,32%,   ,32%,,,26%,   ,28%,6%
no-channel,,,0%,   ,0%,,,24%,   ,28%,,,34%,   ,28%,,,26%,   ,22%,-4%
dislike-recommendation,,,6%,   ,2%,,,16%,   ,20%,,,30%,   ,28%,,,20%,   ,18%,-15%
