video_id,channel_id,rank,component,bot_name,phase,phase_level,time
fxwVUbYXVJg,UCHC60upCUfq7EAfw6oDQRDA,0,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959773
XYC0ekh-KqU,UCutpp9X6rKErxUkv4wKBRPA,1,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959787
ihaB8AFOhZo,UC2LiX7Zjukw_ssz03gjJPpg,2,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959790
wv87IRX9qlA,UCur6nu-T7FilkEztCm_S8yA,3,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959794
0b4TU_R7J3c,UCsMrUFBSgQSWHqwH-Bsjn6A,4,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959796
W86cTIoMv2U,UCCj956IF62FbT7Gouszaj9w,5,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959798
SG3nm-Autsg,UCHC60upCUfq7EAfw6oDQRDA,6,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959801
2WoDQBhJCVQ,UCy4GzuhJDmDkfoid2HjoCww,7,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959803
T2Qu7cgwJmw,UCUDA_CGXq8k1ojZz5LijnHA,8,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959805
uonlYQn7F1s,UCj209lI3ZOmOCkK8e3qFFNQ,9,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:27:25.959807
uTp8AAx8SE4,UCHC60upCUfq7EAfw6oDQRDA,0,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114635
yTCq4BAfUVQ,UCyOfqgtsQaM3S-VZnsYnHjQ,1,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114646
wv87IRX9qlA,UCur6nu-T7FilkEztCm_S8yA,2,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114648
T2Qu7cgwJmw,UCUDA_CGXq8k1ojZz5LijnHA,3,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114649
unOeqzSPEIM,UClM_9i-pjGfqs3fRc-kvJKg,4,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114650
W86cTIoMv2U,UCCj956IF62FbT7Gouszaj9w,5,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114652
2ZEA7O3qdnE,UCaRWArjOtQAHHe2C7B4m8Uw,6,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114653
a8Gx8wiNbs8,UCgjxQJ6TlKqhHax8742ZMdA,7,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114655
Q4P0K8wyt8U,UCsp01x73fh5I1oFCj7WINhA,8,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114656
r76GJDP0uWQ,UCbTGS4Lk-YtQVsi3iLUufGQ,9,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:28:17.114657
ASZooYTwgEo,UCVO8YsD87ibqRGIJ7o8sOzg,0,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202234
wv87IRX9qlA,UCur6nu-T7FilkEztCm_S8yA,1,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202242
KzxR5_w8hhQ,UCw1YnIqAcKpHZYAQytaEVOg,2,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202245
XxEhuSJF780,UCKCrKo2agNNuPMhywozxIIg,3,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202246
pSchqVaAFgw,UC0iG7BlNmwLTyBF-KM2xEsQ,4,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202248
Rt5nV2hayPg,UCXIJgqnII2ZOINSWNOGFThA,5,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202250
FElsJK0u8fE,UCU_W0oE_ock8bWKjALiGs8Q,6,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202251
ihaB8AFOhZo,UC2LiX7Zjukw_ssz03gjJPpg,7,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202252
tZafawk3arc,UCe0TLA0EsQbE-MjuHXevj2A,8,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202253
fO3dKSQayfg,UCeJFgNahi--FKs0oJyeRDEw,9,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:29:05.202255
YFQ-QsuOCR4,UCMAtX9eFBpwc4LtgvbqsOpQ,0,homepage,alt-right_not_interested_1,scrub,3,2022-05-12 10:29:53.166093
