video_id,channel_id,rank,component,bot_name,phase,phase_level,time,watch_video_id
28yRhr-_1jg,UCJg9wBPyKMNA5sRDnvzmkdg,0,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988752,
ihaB8AFOhZo,UC2LiX7Zjukw_ssz03gjJPpg,1,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988770,
yTCq4BAfUVQ,UCyOfqgtsQaM3S-VZnsYnHjQ,2,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988776,
vZ9myHhpS9s,UCEpCxY2zgLQpRWjXtzHCVEg,3,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988779,
bE0oQfFYVLY,UCR4qCR7AAIzjrUfNZqu_ToA,4,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988781,
myO8fxhDRW0,UCj1VqrHhDte54oLgPG4xpuQ,5,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988783,
_w6Uxclog7E,UC2A1530b9PvQW9rJ8DWk9Cg,6,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988785,
W86cTIoMv2U,UCCj956IF62FbT7Gouszaj9w,7,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988787,
T2Qu7cgwJmw,UCUDA_CGXq8k1ojZz5LijnHA,8,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988791,
eH4k6T5CEnU,UCvzrT6Nc1BMpg8YT78YSSmw,9,homepage,alt-right_not_interested_1,scrub,0,2022-05-12 10:38:33.988793,
024Fmd9ZIH0,UC34JIJf43HQZDMdPm9774UA,0,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495179,
ihaB8AFOhZo,UC2LiX7Zjukw_ssz03gjJPpg,1,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495188,
J_TEiWkzQXM,UC88lvyJe7aHZmcvzvubDFRg,2,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495190,
EGja_87Wgug,UCJg9wBPyKMNA5sRDnvzmkdg,3,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495191,
H18l8VoXflU,UCC1MtX6ThunQJrlEeY0BWTQ,4,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495193,
P6fRp1S67W8,UCSLUrcByUa6L641WPik31RQ,5,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495194,
aPC_h9Vmlxw,UC0k173Oca1nPZurW2ITHlYw,6,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495196,
vwIUJbIU57s,UC68KnvCZ-nJzmmuSu_tKASA,7,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495197,
28yRhr-_1jg,UCJg9wBPyKMNA5sRDnvzmkdg,8,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495198,
z6KKo85V9Ew,UCpmS75Phtit_NMJXoyTSZvw,9,homepage,alt-right_not_interested_1,scrub,1,2022-05-12 10:39:06.495200,
JaQarnFbyD8,UCvbki_2_V6qLvezSxwo13mg,0,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:39:38.577764,
shoVsQhou-8,UCyOfqgtsQaM3S-VZnsYnHjQ,1,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:39:38.577776,
ihaB8AFOhZo,UC2LiX7Zjukw_ssz03gjJPpg,2,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:39:38.577778,
LiXL3Pc81c4,UCINb0wqPz-A0dV9nARjJlOQ,3,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:39:38.577779,
H18l8VoXflU,UCC1MtX6ThunQJrlEeY0BWTQ,4,homepage,alt-right_not_interested_1,scrub,2,2022-05-12 10:39:38.577781,
