video_id,channel_id,rank,component,bot_name,phase,phase_level,time,watch_video_id
a8Gx8wiNbs8,UCgjxQJ6TlKqhHax8742ZMdA,0,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380057,
1vzdm0Mz58o,UCq6VFHwMzcMXbuKyG7SQYIg,1,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380079,
bp8727gV5HA,UC_hK9fOxyy_TM8FJGXIyG8Q,2,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380090,
PJC-oRDwwY8,UCUaT_39o1x6qWjz7K2pWcgw,3,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380094,
W-iwfmhpHBE,UCb-0Nf8OEIEdRmCJzLuIrnQ,4,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380098,
_qdNtuve0Bk,UCWsDFcIhY2DBi3GB5uykGXA,5,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380100,
3_Rxnb_E_TI,UClvgyQvIplPQU8N73vPlFUA,6,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380105,
CJoIwJxZGpY,UCpB959t8iPrxQWj7G6n0ctQ,7,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380108,
rYwy0lodsVk,UCcyq283he07B7_KUX07mmtA,8,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380110,
28yRhr-_1jg,UCJg9wBPyKMNA5sRDnvzmkdg,9,homepage,alt-right_watch_1,stain,0,2022-05-11 21:02:42.380114,
sA3O-a0jkeE,UCXwRxm0zS0jBNTMOVI6xZJw,0,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135940,moEPY8kIhts
WoISxP9YqdI,UCAeWdyKJXGWmVAXFpgLNNTg,1,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135951,moEPY8kIhts
J58gQXjXIEc,UCHC60upCUfq7EAfw6oDQRDA,2,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135952,moEPY8kIhts
vNWG3UljBsk,UCHC60upCUfq7EAfw6oDQRDA,3,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135954,moEPY8kIhts
T-S6UdcO7No,UCHC60upCUfq7EAfw6oDQRDA,4,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135955,moEPY8kIhts
iEnM_fualmg,UCHC60upCUfq7EAfw6oDQRDA,5,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135957,moEPY8kIhts
59S1OmtsZZo,UCHC60upCUfq7EAfw6oDQRDA,6,videopage,alt-right_watch_1,stain,0,2022-05-11 21:03:00.135958,moEPY8kIhts
