video_id,channel_id,rank,component,bot_name,phase,phase_level,level,time,watch_video_id
1rlPdXPKNBc,UC7u9o8BHiJyH2_cef_nC7tQ,0,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630261,
GyYJV1psDow,UClgRkhTL3_hImCAmdLfDE4g,1,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630273,
7XthJZrzXgY,UCpB959t8iPrxQWj7G6n0ctQ,2,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630276,
YS15RLUQ_FU,UCPDis9pjXuqyI7RYLJ-TTSA,3,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630278,
z4NCh_Lq8hE,UCzXwjTI6c6mVn6oui_p6oiw,4,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630280,
H5v3kku4y6Q,UCZFWPqqPkFlNwIxcpsLOwew,5,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630282,
V2kWUJkRvVs,UCCZGYab5SpD0I7Z5JqJZgww,6,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630284,
o2SYvOLYKFc,UCLmzTZqj3B8tL4dHpjcMQ9A,7,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630287,
ecQDonLMR1Q,UCpB959t8iPrxQWj7G6n0ctQ,8,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630289,
I8h0eZZQt6I,UC4ZVfqa8Ic6TylS3uV_2KOw,9,homepage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:41:51.630291,
TcFt_khISRQ,UC4LyGVdDhiNUetMFSkw41wA,0,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081753,pKM-_x5vgNI
-rTT588cgtc,UCtyD5Kviv9fxHiyXPio-TOA,1,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081763,pKM-_x5vgNI
fsCMpMDj6kA,UCqMCUVhU7ESYppPAbzMKjWg,2,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081765,pKM-_x5vgNI
HtBevengm94,UCZtDKD0pFpPclXA7ZAti90w,3,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081766,pKM-_x5vgNI
XgFqguNaCIg,UCR3a64-Pbq4IaP4eAl8tpyA,4,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081768,pKM-_x5vgNI
n1rzFhtY0hg,UCZtDKD0pFpPclXA7ZAti90w,5,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081770,pKM-_x5vgNI
8vkg8PPme7M,UC0Yqhz03jNtqQRiIwJ_ziwg,6,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081771,pKM-_x5vgNI
wLLvsT586qw,UC9PZUY4UJ_1SFe2RsAokRIA,7,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081773,pKM-_x5vgNI
ZFtQItdTj9M,UCs2oMqdFjO0J6u4RqFD4aMQ,8,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081774,pKM-_x5vgNI
dKUcRplG0Qk,UCigYww-CgRUO8Z5Ql1nQvfA,9,videopage,alt-right_dislike_recommendation_0,stain,0,0,2022-05-12 22:42:10.081776,pKM-_x5vgNI
-rTT588cgtc,UCtyD5Kviv9fxHiyXPio-TOA,0,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467770,
OwNZzl0OctU,UCZtDKD0pFpPclXA7ZAti90w,1,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467780,
GyYJV1psDow,UClgRkhTL3_hImCAmdLfDE4g,2,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467782,
HtBevengm94,UCZtDKD0pFpPclXA7ZAti90w,3,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467783,
EVXN9BuYS9c,UCh9D62JoUWlv3RgepQQrTKg,4,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467785,
dKUcRplG0Qk,UCigYww-CgRUO8Z5Ql1nQvfA,5,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467786,
6CHs4x2uqcQ,UCs6eXM7s8Vl5WcECcRHc2qQ,6,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467789,
Sx7SvkKJ9rw,UC4mLlRa_dezwvytudo9s1sw,7,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467791,
YvzEZ88x7Tc,UC450OjGGH9hccmVmnDvYARw,8,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467793,
yO3JsvEu5wY,UC8rcd0jL0MwBfOj4Y3RTFAg,9,homepage,alt-right_dislike_recommendation_0,stain,1,1,2022-05-12 22:47:15.467794,
-rTT588cgtc,UCtyD5Kviv9fxHiyXPio-TOA,0,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780657,
OwNZzl0OctU,UCZtDKD0pFpPclXA7ZAti90w,1,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780667,
Sx7SvkKJ9rw,UC4mLlRa_dezwvytudo9s1sw,2,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780670,
HtBevengm94,UCZtDKD0pFpPclXA7ZAti90w,3,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780672,
dKUcRplG0Qk,UCigYww-CgRUO8Z5Ql1nQvfA,4,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780675,
EVXN9BuYS9c,UCh9D62JoUWlv3RgepQQrTKg,5,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780677,
yO3JsvEu5wY,UC8rcd0jL0MwBfOj4Y3RTFAg,6,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780679,
MmxKsK90L14,UCjvO9OjMSsaZxVKhMwVCpiQ,7,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780681,
Q0ZEmLosVXE,UC1VPReSAv3F3ce6pwWm96zA,8,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780682,
rOKNjl084W4,UCo0nr7eRsAjhypSa-iWklOg,9,homepage,alt-right_dislike_recommendation_0,stain,2,2,2022-05-12 22:59:11.780684,
-rTT588cgtc,UCtyD5Kviv9fxHiyXPio-TOA,0,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123280,
OwNZzl0OctU,UCZtDKD0pFpPclXA7ZAti90w,1,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123292,
Sx7SvkKJ9rw,UC4mLlRa_dezwvytudo9s1sw,2,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123294,
dKUcRplG0Qk,UCigYww-CgRUO8Z5Ql1nQvfA,3,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123296,
HtBevengm94,UCZtDKD0pFpPclXA7ZAti90w,4,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123299,
EVXN9BuYS9c,UCh9D62JoUWlv3RgepQQrTKg,5,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123302,
kafqVjWljWM,UCfkzsfj7Go1Q_kRFZmJptsw,6,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123306,
XXYlFuWEuKI,UC0WP5P-ufpRfjbNrmOWwLBQ,7,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123308,
B6jGX3fT_fU,UC5vHLE-kwm30jbuQWLF8RNg,8,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123309,
IOs2FhEjMjg,UCj4KP216972cPp2w_BAHy8g,9,homepage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:01:58.123311,
tW8IkM5iZnk,UCd69c5LkxEY0XPRA1pkuTQg,0,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925619,M64e3ZfA2PI
Unzc731iCUY,UCEBb1b_L6zDS3xTUrIALZOw,1,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925628,M64e3ZfA2PI
T1gvNaC17B4,UCoxg3Kml41wE3IPq-PC-LQw,2,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925630,M64e3ZfA2PI
eSWwIQzKsbY,UC5MOW8BO3dH38Fo3Rau17KQ,3,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925632,M64e3ZfA2PI
1XqEhHCQe2g,UCUlbfmxD5QtynemoV215Gyw,4,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925633,M64e3ZfA2PI
8qkaCDg8szc,UCxmr8ZpMFXKBCuzm9xeRiUw,5,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925635,M64e3ZfA2PI
iTm_zb9k2us,UCMjlDOf0UO9wSijFqPE9wBw,6,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925636,M64e3ZfA2PI
qLBsSpeTU1A,UCswH8ovgUp5Bdg-0_JTYFNw,7,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925638,M64e3ZfA2PI
qe3UcJ0CAxI,UCswH8ovgUp5Bdg-0_JTYFNw,8,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925639,M64e3ZfA2PI
YZshgYbtUmM,UCRWyPm7MrfotIYF8A8MGV3g,9,videopage,alt-right_dislike_recommendation_0,stain,3,3,2022-05-12 23:02:14.925641,M64e3ZfA2PI
QDssgN2vPX0,UCN0-RRaxMgh86eOwndAklxw,0,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739885,
GyYJV1psDow,UClgRkhTL3_hImCAmdLfDE4g,1,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739897,
OwNZzl0OctU,UCZtDKD0pFpPclXA7ZAti90w,2,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739903,
dKUcRplG0Qk,UCigYww-CgRUO8Z5Ql1nQvfA,3,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739908,
VmytSGTizUY,UCN0-RRaxMgh86eOwndAklxw,4,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739911,
LgiFdOpmCdk,UC4NTgAbqbES_ttAGZN88dwA,5,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739914,
Sx7SvkKJ9rw,UC4mLlRa_dezwvytudo9s1sw,6,homepage,alt-right_dislike_recommendation_0,stain,4,4,2022-05-12 23:07:45.739917,
