video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
9CdY7t5VKIY,0,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.725290,,
aOcAqCvH66Q,1,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.734259,,
hg-HbRIk0xM,2,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.742567,,
KM36zdNUzZk,3,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.750553,,
oznAFplzZJA,4,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.759086,,
2oLl8NLtels,5,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.767799,,
DSCkYRTjlNw,6,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.776298,,
8EMBZGl-UgQ,7,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.789366,,
H9-ekUCFCr0,8,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.801376,,
nP9zoP3km7g,9,homepage,sean.carter.99.test,create,0,2022-03-16 15:52:11.810176,,
zGwcZEN0tJU,0,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731125,UCp1KrVaZDZ7BOI_QBuTWWmg,tCuhILOgrMM
pu5GKwygrKM,1,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731135,UCzF4Ryn8TKn64md77gS5Q5Q,tCuhILOgrMM
9voZnLhXFL4,2,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731137,UC_vFLohxs5PkAxlk7Y6jEtw,tCuhILOgrMM
YZFnHFMDkWI,3,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731138,UCzF4Ryn8TKn64md77gS5Q5Q,tCuhILOgrMM
OeP4FFr88SQ,4,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731139,UCnRI0ay61tY-fKYzzB3fCnw,tCuhILOgrMM
csgXgAytdv4,5,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731141,UCp1KrVaZDZ7BOI_QBuTWWmg,tCuhILOgrMM
FeGr87SfEE0,6,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731142,UCzF4Ryn8TKn64md77gS5Q5Q,tCuhILOgrMM
t5xqzEzkcj0,7,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731144,UCzF4Ryn8TKn64md77gS5Q5Q,tCuhILOgrMM
