video_id,channel_id,rank,component,bot_name,phase,phase_level,time,watch_video_id
Y0Uj1RA7Cgk,UCWWJHLPw0fKJ_G6X3Dhjbrw,0,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240675,
15n5MZNU3Hg,UCTrlF6GUUXlzeb0yz7m_2jg,1,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240691,
1crk7Na2h3w,UCnetiRHPnIMBCm-yY4m69qA,2,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240696,
vuHuKvhG88U,UC0wNf5tJpKvPiDW_7a1bwXw,3,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240704,
JXWuxMQx_N4,UCOu5nAaNNQUKvVeb2yhDt8w,4,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240706,
K6WX5mgLwMk,UC1QSeGpkQS3ZIT43cSI30Gg,5,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240710,
28yRhr-_1jg,UCJg9wBPyKMNA5sRDnvzmkdg,6,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240712,
4PPTu4g2_hg,UCmyjVwYZbp5YPYTUyeopO2g,7,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240714,
2rUV4TAP46U,UCgBg0aacyJnw4qUnb1FlfEQ,8,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240716,
JaQarnFbyD8,UCvbki_2_V6qLvezSxwo13mg,9,homepage,alt-right_watch_0,stain,0,2022-05-11 15:08:18.240718,
s4gO2RQR-bM,UCq18eeL7D9Vd8DhjMcLh9QQ,0,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171030,u8GMYIs4cRI
r1r-75_M_h8,UCeD5NwvPbEZKcu02_v8tUZQ,1,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171040,u8GMYIs4cRI
vTo0crpK8Zs,UClOuePXlJnw8-br7SXiuHqg,2,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171042,u8GMYIs4cRI
tOHUwwP6LLs,UCvy9bjqfawiaE_CklFSdnzg,3,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171044,u8GMYIs4cRI
Y5QewBUQJDw,UC7Vw6oq2LCbzAhdxF_UcIWg,4,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171045,u8GMYIs4cRI
fN1iZunR_K4,UCH8YwF0eRl9E5lpGj8OaiLg,5,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171047,u8GMYIs4cRI
7gHQHj5aZ5E,UCjXB7nX8bL2U2sje8d212Yw,6,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171048,u8GMYIs4cRI
ouZrZa5pLXk,UCbXMoF3-74hj2lhLCIp3C-A,7,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171049,u8GMYIs4cRI
_2un1aU7mT0,UCq0OueAsdxH6b8nyAspwViw,8,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171051,u8GMYIs4cRI
LNRBhq2oV8k,UCDjwdhrPW_MPEleDnPXOYTA,9,videopage,alt-right_watch_0,stain,0,2022-05-11 15:08:36.171052,u8GMYIs4cRI
Motv8vsMHDA,UC34JIJf43HQZDMdPm9774UA,0,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100338,
q-yZ7497YPc,UCO0akufu9MOzyz3nvGIXAAw,1,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100352,
ihaB8AFOhZo,UC2LiX7Zjukw_ssz03gjJPpg,2,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100355,
1crk7Na2h3w,UCnetiRHPnIMBCm-yY4m69qA,3,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100359,
JXWuxMQx_N4,UCOu5nAaNNQUKvVeb2yhDt8w,4,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100361,
28yRhr-_1jg,UCJg9wBPyKMNA5sRDnvzmkdg,5,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100363,
K6WX5mgLwMk,UC1QSeGpkQS3ZIT43cSI30Gg,6,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100365,
3Sh06VUiXaA,UCi5iiEyLwSLvlqnMi02u5gQ,7,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100368,
vuHuKvhG88U,UC0wNf5tJpKvPiDW_7a1bwXw,8,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100370,
SA2Rc84_D_k,UC4OjwxEIuTddLbyb3dY3pLA,9,homepage,alt-right_watch_0,stain,1,2022-05-11 15:11:04.100372,
QbxinUJcLGg,UCsT0YIqwnpJCM-mx7-gSA4Q,0,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574043,Cphq4DZfFLw
PwXOEFK6Swo,UCj_Dw1lF8i0KRbz8BHoEs-Q,1,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574061,Cphq4DZfFLw
a8jcNBVWJyE,UCLMjl_P4UK_kS5Hv718iweg,2,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574065,Cphq4DZfFLw
T-S6UdcO7No,UCHC60upCUfq7EAfw6oDQRDA,3,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574068,Cphq4DZfFLw
lCN6FjqDcHg,UCTAmwT_YfRvsIKIdMFJK6iA,4,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574073,Cphq4DZfFLw
e4PTvXtz4GM,UCsT0YIqwnpJCM-mx7-gSA4Q,5,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574075,Cphq4DZfFLw
6diqpGKOvic,UCAuUUnT6oDeKwE6v1NGQxug,6,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574077,Cphq4DZfFLw
RxCXOoaKYRE,UCKBnlTTgEnhIXv_c4LvvyMQ,7,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574079,Cphq4DZfFLw
W63nH1UTJg8,UCXIJgqnII2ZOINSWNOGFThA,8,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574081,Cphq4DZfFLw
LmSuP1jtoTM,UCCSgkiXhcJ3q08TD3lLLQNQ,9,videopage,alt-right_watch_0,stain,1,2022-05-11 15:11:20.574083,Cphq4DZfFLw
Motv8vsMHDA,UC34JIJf43HQZDMdPm9774UA,0,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542476,
q-yZ7497YPc,UCO0akufu9MOzyz3nvGIXAAw,1,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542488,
1crk7Na2h3w,UCnetiRHPnIMBCm-yY4m69qA,2,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542491,
wQhAmkQ2Tn8,UC20PxakLGk9CuL0UFkrWuCQ,3,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542493,
Fjnvweudl0A,UCHplEEwenKMV1o_wXGaGqxA,4,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542495,
28yRhr-_1jg,UCJg9wBPyKMNA5sRDnvzmkdg,5,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542497,
2rUV4TAP46U,UCgBg0aacyJnw4qUnb1FlfEQ,6,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542499,
ePK8FhWR0is,UCUINm_sTF9Q_ESf8fO25OdQ,7,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542502,
VgjyPmFKxCU,UCUK0HBIBWgM2c4vsPhkYY4w,8,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542504,
orCZUfnK1J0,UCMfkS5H2S5BYYAHMYF2ecUQ,9,homepage,alt-right_watch_0,stain,2,2022-05-11 15:12:02.542506,
