vid,cid,channel_ideology
4Eq4vEmDIbU,UC4chaUevLgCVSz-RcgqgoZQ,L
duyFe6cDp2g,UC4chaUevLgCVSz-RcgqgoZQ,L
xJPt70To_qM,UC4chaUevLgCVSz-RcgqgoZQ,L
qR4m17eKoaQ,UC4chaUevLgCVSz-RcgqgoZQ,L
uQ6sabTkjik,UC4chaUevLgCVSz-RcgqgoZQ,L
9VCRqbY-_Mw,UC4chaUevLgCVSz-RcgqgoZQ,L
VvCB55iQJrc,UC4chaUevLgCVSz-RcgqgoZQ,L
XfdV96XdgvA,UC4chaUevLgCVSz-RcgqgoZQ,L
N1jfy9eO5Mg,UC4chaUevLgCVSz-RcgqgoZQ,L
vrvf291sMDs,UC4chaUevLgCVSz-RcgqgoZQ,L
RRo6tBzWzzI,UC4chaUevLgCVSz-RcgqgoZQ,L
nA3v8OCtGRA,UC4chaUevLgCVSz-RcgqgoZQ,L
a8-7Di-Zeds,UC4chaUevLgCVSz-RcgqgoZQ,L
8sdlPVsnvjA,UC4chaUevLgCVSz-RcgqgoZQ,L
Sr875oaNnUM,UC4chaUevLgCVSz-RcgqgoZQ,L
2NorB83Ibjc,UC4chaUevLgCVSz-RcgqgoZQ,L
1dsux5CRhaQ,UC4chaUevLgCVSz-RcgqgoZQ,L
uWOUsqB8IPo,UC4chaUevLgCVSz-RcgqgoZQ,L
7BAYSBXHsu4,UC4chaUevLgCVSz-RcgqgoZQ,L
PgTb6elOttQ,UC4chaUevLgCVSz-RcgqgoZQ,L
qJ1r5QpiIZg,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
NKtvkN_pbJ0,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
FPSRGw0LwBo,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
wLA85BTJom4,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
RIWsQqc2ynM,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
HY1-A--R1mI,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
HiUkZ100uAw,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
Z48pIN8sIrA,UC7yoXZ7c8ZZAimgcqHBtHoQ,L
