title,country,mbfc_page,bias_raw,factual,label,url,channel_id
Alliance for Justice (AFJ),US,left,left8,High,L,https://www.afj.org/,UC4chaUevLgCVSz-RcgqgoZQ
Act.TV,US,left,left4,MostlyFactual,L,http://act.tv,UC7yoXZ7c8ZZAimgcqHBtHoQ
ACHNews,US,left,left8,MostlyFactual,L,https://achnews.org/,
AlterNet,US,left,left2,Mixed,L,https://www.alternet.org/,
Al DIA,US,left,left4,Mixed,L,https://aldianews.com,UCGrUeq1FtRamLqZgaCIgB3w
ANX Media (American News X),US,left,left3,Mixed,L,http://anx.media/,
American Bridge 21st Century,US,left,left5,Mixed,L,https://americanbridgepac.org/,UCvubOhuUIhYoYnRyXHtcygQ
Angry White Men,US,left,left9,Mixed,L,https://angrywhitemen.org,
American Oversight,US,left,left7,Mixed,L,https://www.americanoversight.org,UCipcOR6j5MuCzZXXnhfIyjw
AmericaBlog,US,left,left7,High,L,http://americablog.com/,UCUxR7wL7jl8Ik5ZpxYkO6kQ
Americans United for Separation of Church and State,US,left,left12,High,L,https://www.au.org/,UCTioRIsPAFBF1KqkUEf0guA
AutoStraddle,US,left,left7,High,L,https://www.autostraddle.com/,UCsNaPhvvGdDyikAvwCV9D4A
Bitch Media,US,left,left8,High,L,https://bitchmedia.org/,UCFdJR3ZSJcZ7RGWdSYHt4ag
Being Liberal,US,left,left3,Mixed,L,https://www.facebook.com/pg/beingliberal.org,UCtsxpBooBxhAAVSsfKzvHGQ
Anti Fascist News,US,left,left12,Mixed,L,https://antifascistnews.net/,
Bay Area Reporter,US,left,left12,High,L,https://www.ebar.com/,
Black Agenda Report,US,left,left1,MostlyFactual,L,https://blackagendareport.com/,UCOxLhz6B_elvLflntSEfnzA
Black Lives Matter,US,left,left9,MostlyFactual,L,https://blacklivesmatter.com,UCud6qp6HqpAJU4STFw8Uk7Q
Boing Boing,US,left,left7,Mixed,L,https://boingboing.net,UCkhTsO516zCnrxRa6iy9j-w
Black America Web,US,left,left8,MostlyFactual,L,https://blackamericaweb.com/,UCexetvuR0DbNlprwhe4Ze1g
Black Main Street,US,left,left5,MostlyFactual,L,https://blackmainstreet.net/,
Bust Magazine,US,left,left7,MostlyFactual,L,https://bust.com,
