StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q40,Q43,Q43_5_TEXT,Q45,Q45_11_TEXT,Q46,Q35,Q36,Q16,Q19,Q20,Q21,Q97,Q23,Q24,Q26,Q25,Q27,Q92,Q60,Q61,Q62,Q63,Q64,Q67,Q68,Q69,Q95,Q71,Q72,Q81,Q82,Q83,Q85,Q86,Q32,Q42,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Investigator:

- Dr. Paul Resnick, Professor, University of Michigan School of Information, presnick@umich.edu 
- Alexander Liu, PhD Student, University of Michigan School of Information, avliu@umich.edu


Information about Study Participation: We are looking for frequent YouTube users (at least once a month). We are interested to know about your YouTube usage, particularly when it's recommending content you're not interested in. We would like to know whether you've experienced this scenario, how you dealt with it, and whether you used certain platform features (e.g. the ""Dislike"" button). Participating in this study is completely voluntary. Your responses will be kept confidential. We expect this survey to take no more than 10 minutes to complete. Even if you decide to participate now, you may change your mind and stop at any time.

Benefits: You may not receive any personal benefits from being in this study. However, others may benefit from the knowledge gained from this study.


Risks: The researcher has taken steps to minimize the risks of this study. The data collected is anonymous, and the topic is not sensitive. This survey is intended for adult participants only. By continuing with this survey, you acknowledge this disclaimer.


Compensation: In appreciation of your time for completing this survey, you will receive compensation through Prolific (https://www.prolific.co/) at the agreed-upon rate. We may reject your responses if you fail attention checks. 

Confidentiality: Your responses to this survey are anonymous. The data you provide will be kept confidential and stored on a password-protected machine. We may use or share your research information for future research studies. 

Contact Information: If you have questions about your rights as a research participant, or wish to obtain information, ask questions, or discuss any concerns about this study, please contact the research team: 
- Dr. Paul Resnick, Professor, University of Michigan School of Information, presnick@umich.edu

- Alexander Liu, PhD Student, University of Michigan School of Information, avliu@umich.edu

The University of Michigan Health Sciences and Behavioral Sciences Institutional Review Board has determined that this research is exempt from IRB oversight (Study ID: HUM00224551).
 
You may print this page for your records.


Consent: Please make sure that you have read this entire form and that your questions about the study have been answered. You may contact the research team if you think of a question later. 
 
By selecting “I consent to participate in this survey,” you are consenting to participate in this research survey. If you do not wish to participate, select “I DO NOT consent to participate in this survey.”",What is the highest level of school you have completed or the highest degree you have received?,What is your gender? Select all that apply - Selected Choice,What is your gender? Select all that apply - Prefer to self-describe - Text,Choose one or more races/ethnicities that you consider yourself to be - Selected Choice,Choose one or more races/ethnicities that you consider yourself to be - Prefer to self-describe - Text,"In general, how would you describe your political views?",How often do you watch content on YouTube?,"When you watch YouTube, how often are you logged into your YouTube account?",scenario_experience,scenario_topics,strategies_real,strategies_hypothetical,attention_check,awareness,usage_real,usage_hypothetical,effectiveness_real,effectiveness_hypothetical,attention_check,awareness,usage_real,usage_hypothetical,effectiveness_real,effectiveness_hypothetical,awareness,usage_real,usage_hypothetical,attention_check,effectiveness_real,effectiveness_hypothetical,awareness,usage_real,usage_hypothetical,effectiveness_real,effectiveness_hypothetical,worker_ID,We would greatly appreciate any feedback you have about our survey,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID45""}","{""ImportId"":""QID44""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_5_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_11_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID96""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID99""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""Random ID""}"
2022-10-07 15:01:58,2022-10-07 15:18:33,Survey Preview,,100,994,True,2022-10-07 15:18:34,R_2tzlgaWvDqqNT9d,,,,,42.2709,-83.7268,preview,EN,I consent to participate in this survey,5,Man,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, rarely","News broadcasts, Music videos, Obscure videos on niche topics","Clicked on the ""Do not recommend from channel"" or ""Not interested"" button under the video.",,,Yes,No,,,4,,Yes,Yes,,2,,Yes,Yes,,,4,,Yes,Yes,,4,,-,"I think for the education part, it would be easier if the question asked for highest education ""completed or pursuing"" rather than highest completed. For the grading scales, it might be a bit easier on the eyes if all the options have capitalized texts rather than just the extremes. I think the direct recommendation page related fixes (Not interested, Do not recommend channel) should probably be asked about first or seperately. Lastly, a bigger feedback box would be appreciated!",47399
2022-10-10 10:14:57,2022-10-10 10:44:18,Survey Preview,,100,1760,True,2022-10-10 10:44:19,R_3I9SEbG3wklHXV1,,,,,42.2709,-83.7268,preview,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every month,Half of the time,"Yes, rarely","I think it was because an influencer who I did not like popped up, didn't listen long enough to notice what the topic was but just generally knew these influencer's views were offensive to me.",I exited out.,,,No,Not sure,,,3,3,Yes,No,,,3,Yes,Yes,,Yes,3,,No,No,,,3,2323,,61357
2022-10-11 20:01:48,2022-10-11 20:11:04,IP Address,68.49.107.133,100,555,True,2022-10-11 20:11:07,R_1qUu3UKua8WPVCQ,,,,,42.2807,-83.7801,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Non-binary,,Prefer not to disclose,,Conservative,At least once every day,Never,"Yes, sometimes",asdf,asdf,,asdf,No,No,,,Not sure,2,Yes,Yes,,4,,No,No,,Yes,,Not sure,Yes,No,,,2,asdf,asdf,13995
2022-10-11 21:03:52,2022-10-11 21:07:37,IP Address,104.34.232.17,100,225,True,2022-10-11 21:07:37,R_eEVOfsfn0z7F1df,,,,,33.846,-118.3456,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,"Black or African American,White",,Liberal,At least once every day,Always,"Yes, rarely",Depression Medicine,Mark uninterested,,video,No,No,,,4,5- completely effective,Yes,No,,,4,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,610c250a4cf53941b3e3e55d,,48236
2022-10-11 21:05:00,2022-10-11 21:13:35,IP Address,99.23.90.175,100,514,True,2022-10-11 21:13:35,R_3oHity6ySNWk7Z6,,,,,35.2025,-97.4835,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every week,Half of the time,"Yes, rarely","fetish video, crash scenes","close the window, click that i'm not interested",,video,No,No,,,5- completely effective,2,Yes,No,,,2,Yes,Yes,,Yes,3,,No,No,,,3,5ee0554d395f86389a14cc39,,77791
2022-10-11 21:09:36,2022-10-11 21:14:52,IP Address,107.142.201.120,100,316,True,2022-10-11 21:14:53,R_2QzYL2krgZKcTzm,,,,,33.5815,-85.0803,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",Conservative leaning videos mostly,I usually just ignore them,,Video,No,No,,,Not sure,2,Yes,No,,,4,Not sure,No,,Yes,,3,No,No,,,5- completely effective,61084e45d53567348ae45e57,I learned some stuff. I use YouTube every day on my smart TV and I’m not sure all of these options are available though.,85534
2022-10-11 21:12:34,2022-10-11 21:16:33,IP Address,98.36.216.149,100,238,True,2022-10-11 21:16:33,R_4SnpTr1zzHFitd7,,,,,38.6645,-121.487,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,"Black or African American,White",,Liberal,At least once every week,Most of the time,"Yes, sometimes",political,on a few a pressed the not interested button on others i just ignored,,video,No,No,,,Not sure,2,Yes,No,,,3,Yes,Yes,,Yes,4,,Yes,No,,,4,5ec3884fa0c1ef0009b57549,,95444
2022-10-11 21:09:15,2022-10-11 21:17:56,IP Address,98.239.143.249,100,520,True,2022-10-11 21:17:56,R_3Etg9PZCV6qUd3a,,,,,39.5953,-79.9229,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",prank videos,hitting the dislike button,,video,Not sure,No,,,4,2,Yes,Yes,,5- completely effective,,Yes,Yes,,Yes,4,,No,No,,,4,5f51667a8dff8f39dba7df7f,,62437
